Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2024 US Open R128,L vs Lepchenko,4,3,1.3,16.7%,12.5%,3,2,1.5,14.3%,9.5%,4.8%,0.0%,2.5,41.7%,16.7%
2024 Wimbledon R64,L vs Badosa,9,26,0.3,8.2%,23.6%,9,19,0.5,10.0%,21.1%,5.6%,3.3%,1.5,20.0%,13.6%
2024 Wimbledon R128,W vs Andreeva,21,42,0.5,12.6%,25.1%,21,37,0.6,13.5%,23.7%,7.7%,5.1%,0.8,15.0%,19.2%
2024 Miami R128,W vs Carle,7,26,0.3,6.3%,23.4%,7,22,0.3,6.8%,21.4%,2.9%,3.9%,0.4,14.4%,38.7%
2024 Australian Open R64,L vs Sabalenka,7,17,0.4,6.9%,16.8%,5,13,0.4,5.7%,14.8%,2.3%,3.4%,1.8,28.7%,15.8%
2024 Australian Open Q2,W vs Gibson,22,26,0.8,12.4%,14.6%,20,23,0.9,12.3%,14.1%,5.5%,6.1%,1.0,20.8%,21.3%
2023 W25 Leipzig F,W vs Astakhova,21,12,1.8,22.3%,12.8%,16,9,1.8,19.8%,11.1%,8.6%,11.1%,0.5,14.9%,27.7%
2023 Roland Garros R128,L vs Rybakina,12,19,0.6,9.8%,15.4%,12,13,0.9,11.2%,12.1%,3.7%,7.5%,1.8,26.8%,14.6%
2023 Australian Open R128,L vs Sasnovich,6,19,0.3,5.4%,17.0%,4,17,0.2,4.0%,16.8%,1.0%,3.0%,1.1,30.4%,27.7%
2022 Montevideo 125 R16,L vs Baindl,13,19,0.7,12.1%,17.8%,12,17,0.7,11.8%,16.7%,7.8%,3.9%,1.7,18.7%,11.2%
2022 Guadalajara R32,L vs Stephens,5,32,0.2,5.3%,34.0%,5,29,0.2,5.6%,32.6%,0.0%,5.6%,0.6,16.0%,25.5%
2022 W25 Tucuman F,W vs Ormaechea,22,37,0.6,12.9%,21.8%,22,37,0.6,13.3%,22.3%,4.2%,9.0%,0.7,23.5%,35.3%
2022 W25 Tucuman F,W vs Alves,21,13,1.6,21.0%,13.0%,21,12,1.8,22.1%,12.6%,10.5%,11.6%,0.6,17.0%,27.0%
Career (13 matches),,170,291,0.6,11.4%,19.5%,157,250,0.6,11.5%,18.4%,5.1%,6.1%,0.9,20.9%,23.2%
