Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2024 Wimbledon R64,L vs Badosa,11.3%,24.5%,40.0%,14.7%,29.4%,34.5%,30.0%,71.4%,100.0%,8.3%,25.0%,54.5%,0.0%,42.9%,0.0%,-58
2024 Miami R128,W vs Carle,14.5%,18.2%,55.8%,13.2%,18.4%,54.5%,42.1%,73.7%,100.0%,23.1%,23.1%,60.0%,0.0%,70.0%,100.0%,84
2024 Australian Open R64,L vs Sabalenka,20.0%,32.7%,38.5%,28.6%,42.9%,40.0%,36.4%,52.9%,25.0%,13.6%,27.3%,36.8%,50.0%,57.1%,100.0%,14
2024 Australian Open Q2,W vs Gibson,17.0%,28.7%,52.0%,25.9%,41.4%,51.2%,55.2%,31.0%,66.7%,3.0%,9.1%,53.1%,50.0%,31.6%,50.0%,-87
2023 ITF Leipzig F,W vs Astakhova,23.4%,38.3%,79.3%,32.1%,46.4%,73.7%,62.5%,66.7%,0.0%,16.7%,41.7%,90.0%,50.0%,100.0%,-,35
2023 Roland Garros R128,L vs Rybakina,20.8%,28.3%,38.9%,26.7%,36.7%,40.9%,12.5%,42.9%,33.3%,17.6%,23.5%,35.7%,37.5%,66.7%,100.0%,31
2023 Roland Garros Q3,L vs Robbe,17.4%,30.4%,71.4%,15.4%,30.8%,72.7%,66.7%,64.3%,100.0%,23.5%,35.3%,69.2%,30.0%,57.1%,0.0%,77
2023 Roland Garros Q1,L vs Ruzic,17.3%,24.5%,44.6%,16.9%,27.7%,46.3%,30.0%,68.6%,75.0%,23.1%,23.1%,40.0%,11.1%,82.4%,50.0%,90
2023 Australian Open R128,L vs Sasnovich,32.1%,33.9%,25.0%,33.3%,35.9%,26.9%,40.9%,58.8%,0.0%,33.3%,33.3%,20.0%,0.0%,36.4%,50.0%,38
2022 Montevideo R16,L vs Baindl,8.1%,17.7%,40.0%,11.4%,20.5%,46.2%,68.2%,45.5%,44.4%,0.0%,12.5%,25.0%,0.0%,28.6%,33.3%,-119
2022 Guadalajara R32,L vs Stephens,10.4%,20.8%,45.0%,11.4%,22.9%,48.4%,35.7%,61.9%,100.0%,10.0%,20.0%,33.3%,0.0%,75.0%,100.0%,-30
2022 ITF Tucuman F,W vs Ormaechea,4.4%,9.9%,52.3%,1.4%,8.6%,56.5%,37.8%,66.7%,62.5%,15.0%,15.0%,35.3%,37.5%,66.7%,100.0%,-104
2022 ITF Tucuman F,W vs Alves,16.0%,28.0%,63.4%,13.2%,28.9%,63.6%,40.0%,55.6%,100.0%,27.3%,27.3%,62.5%,50.0%,42.9%,0.0%,-3
Career (13 matches),,15.8%,25.0%,49.1%,17.4%,28.3%,50.5%,42.5%,58.1%,60.9%,15.6%,22.8%,46.0%,27.2%,57.6%,57.9%,31
