Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,12,Grass,38,26,12,68.4%,0,0,0,-,1958,1977,F,0,,,,,,,,,,
Roland Garros,6,Clay,22,16,6,72.7%,0,0,0,-,1960,1967,QF,0,,,,,,,,,,
Wimbledon,5,Grass,17,12,5,70.6%,0,0,0,-,1961,1967,QF,0,,,,,,,,,,
US National Championships,3,Grass,9,6,3,66.7%,0,0,0,-,1960,1962,QF,0,,,,,,,,,,
Fed Cup,1,,3,3,0,100.0%,0,0,0,-,1963,1963,,0,,,,,,,,,,
Melbourne,10,Grass,34,24,10,70.6%,0,0,0,-,1957,1970,SF,0,,,,,,,,,,
Sydney,10,Grass,31,24,7,77.4%,1,0,1,0.0%,1961,1974,W,0,,,,,,,,,,
Brisbane,7,Grass,19,14,5,73.7%,0,0,0,-,1957,1965,W,0,,,,,,,,,,
New South Wales,7,Grass,14,8,6,57.1%,0,0,0,-,1959,1977,W,0,,,,,,,,,,
Rome,5,Clay,17,12,5,70.6%,0,0,0,-,1960,1967,SF,0,,,,,,,,,,
Sydney Manly,4,Grass,15,11,4,73.3%,0,0,0,-,1961,1970,F,0,,,,,,,,,,
