Date,Tournament,Surface,Rd,,Score
03-Jan-1966,Sydney,Grass,F,Helen Gourlay / Bill Bowrey [AUS] d. Lehane / Owen Davidson [AUS],6-4 6-4
09-Jun-1964,Nottingham,Grass,F,Lehane / Lew Gerrard [NZL] d. Madonna Schacht / Martin Mulligan [AUS],9-7 7-5
20-Apr-1964,Bournemouth,Clay,F,Lehane / Bob Howe [AUS] d. Glenda Swan / Robert Maud [RSA],8-6 6-3
06-Apr-1964,Hampstead,Clay,F,Lehane / Bob Howe [AUS] d. Joyce Williams [GBR] / John Hillebrand [AUS],6-4 6-2
30-Mar-1964,Aix-En-Provence,Clay,F,Helga Schultze [GER] / Istvan Gulyas [HUN] d. Lehane / Laci Legenstein [AUT],6-2 2-6 6-4
06-Mar-1964,Cairo,Clay,F,Madonna Schacht / Martin Mulligan [AUS] d. Lehane / Pierre Barthes [FRA],7-5 6-4
03-Feb-1964,Auckland,Grass,F,Margaret Court / Fred Stolle [AUS] d. Lehane / John Newcombe [AUS],6-4 6-4
04-Jan-1964,Australian Championships,Grass,F,(1) Margaret Court / Ken Fletcher [AUS] d. (3) Lehane / Michael Sangster [GBR],6-3 6-2
23-Nov-1963,Melbourne,Grass,F,Margaret Court / Ken Fletcher [AUS] d. Lehane / Michael Sangster [GBR],6-2 7-5
29-Apr-1963,Naples,Clay,F,Margaret Court / Ken Fletcher [AUS] d. Lehane / Bob Howe [AUS],W/O
11-Nov-1962,Adelaide,Grass,F,Christine Truman [GBR] / Bob Howe [AUS] d. Lehane / John Newcombe [AUS],6-4 9-7
15-Oct-1962,Brisbane,Clay,F,Lehane / John Newcombe [AUS] d. Lesley Turner / Fred Stolle [AUS],3-6 7-5 6-3
12-Aug-1962,Moscow,Clay,F,Lesley Turner / Ken Fletcher [AUS] d. Lehane / Bob Hewitt [RSA],6-3 12-10
07-Aug-1962,Kitzbuhel,Clay,F,Sandra Reynolds [RSA] / Bob Howe [AUS] d. Lehane / Laci Legenstein [AUT],8-6 6-2
06-Jun-1962,Berlin,Clay,F,Lesley Turner / Bob Howe [AUS] d. Lehane / Warren Jacques [AUS],8-6 7-5
14-Sep-1961,Los Angeles Pac Southwest,Hard,F,Darlene Hard [USA] / Roy Emerson [AUS] d. Lehane / Roger Taylor [GBR],6-4 6-2
24-Jul-1961,Hilversum,Clay,F,Lehane / Bob Howe [AUS] d. Margaret Hunt [RSA] / Piet Van Eysden [NED],6-3 6-3
18-May-1961,Roland Garros,Clay,F,Darlene Hard [USA] / Rod Laver [AUS] d. Lehane / Bob Hewitt [RSA],6-0 2-6 6-3
20-Jan-1961,Australian Championships,Grass,F,Lehane / Bob Hewitt [RSA] d. Mary Carter Reitano / John Pearce [AUS],9-7 6-2
22-Jan-1960,Australian Championships,Grass,F,Lehane / Trevor Fancutt [RSA] d. (2) Mary Carter Reitano / Bob Mark [AUS],6-2 7-5
