Date,Tournament,Surface,Rd,,Score
17-Aug-1970,Detroit Public Parks,,F,Arnold / Lenny Yee [USA] d. Winnie Mccoy / Rita Torres [USA],6-4 4-6 6-2
09-May-1966,Portola Valley,Hard,F,(2) Arnold / Barbara Benigni [USA] d. (1) Rosie Casals / Cecilia Martinez [USA],6-4 6-3
19-Jul-1965,Arcadia,,F,Louise Brough / Barbara Green [USA] d. Arnold / Norma Dickson [USA],6-1 6-4
05-Jul-1965,La Jolla,,F,Arnold / Patti Hogan [USA] d. Winnie Mccoy / Marilyn Joseph [USA],6-2 6-1
31-Aug-1964,Santa Monica,Hard,F,Arnold / Taylor [USA] d. Anita Kanter / Betsy Lester [USA],8-6 6-4
24-Aug-1964,Arcadia,Hard,F,Joan Johnson / Geri Shepard [USA] d. Arnold / Norma Dixon [USA],6-4 4-6 6-2
17-Aug-1964,Beverly Hills,Hard,F,Joan Johnson / Geri Shepard [USA] d. Arnold / Taylor [USA],4-6 6-1 6-0
01-Jun-1964,Sacramento,Hard,F,Arnold / Barbara Benigni [USA] d. Jean Danilovich / Sue Shrader [USA],6-4 6-3
20-May-1964,Menlo Park,Hard,F,Arnold / Barbara Benigni [USA] d. Jane Albert / Julie Heldman [USA],8-6 6-1
02-Jan-1964,Fullerton Doubles,,F,Arnold / Pat Yeomans [USA] d. Bonnie Ellis / Mimi Henreid [USA],6-2 6-0
07-Dec-1961,La Jolla Nationals,Hard,F,Arnold / Dorothy Knode [USA] d. Dodo Cheney / Maggie Taylor [USA],6-4 6-2
24-Jul-1961,Hilversum,Clay,F,Arnold / Christiane Mercelis [BEL] d. Robyn Ebbern / Jan Lehane [AUS],9-7 6-1
20-May-1961,Brussels,Clay,F,Arnold / Christiane Mercelis [BEL] d. Carmen Coronado [ESP] / Pierrette Seghers [FRA],6-1 6-3
04-May-1961,Stuttgart,Clay,F,Arnold / Belmar Gunderson [USA] d. Edda Buding [FRG] / Helga Schultze [GER],6-4 6-1
08-Feb-1960,Bombay,,F,Margaret Hellyer [AUS] / Laura Woodbridge [GBR] d. Arnold / Dechu Appiah [IND],3-6 7-5 6-4
13-Jul-1959,Santa Monica,,F,Arnold / Lucille Beers [USA] d. Winnie Mccoy / Pat Mosely [USA],7-5 6-2
02-Mar-1959,La Jolla Invitational,Hard,F,Arnold / Dodo Cheney [USA] d. Sally Moore / Jacque Tegland [USA],7-5 7-5
07-Apr-1958,Aix-en-Provence,Clay,F,Yola Ramirez [MEX] / Rosie Reyes [FRA] d. Arnold / Marta Peterdy [HUN],8-6 6-3
10-Jun-1957,Bristol,Grass,F,Arnold / Karol Fageros [USA] d. Valerie Forbes [RSA] / Viola White [GBR],6-3 6-1
18-May-1957,San Bernardino,Hard,F,Joan Johnson / Jeri Shepard [USA] d. Arnold / Lucille Beers [USA],6-2 3-6 6-4
