Date,Tournament,Surface,Rd,,Score
07-Dec-1961,La Jolla Nationals,Hard,F,Arnold / Dick Leach [USA] d. Mary Weiss / Hugh Stewart [USA],6-4 6-3
16-Oct-1961,Casablanca,Hard,F,Arnold / Bob Howe [AUS] d. Elizabeth Starkie / Billy Knight [GBR],9-7 6-3
05-Oct-1961,Riverside,Hard,F,Barbara Browning / Dale Rohland [USA] d. Arnold / Dick Leach [USA],4-6 8-6 6-2
03-Oct-1960,Riverside,,F,Arnold / Hugh Johnson [USA] d. Winnie Mccoy / Richard Shires [USA],8-6 6-2
30-May-1960,Oslo,Clay,F,Patricia Ward Hales [GBR] / Neville Nette [AUS] d. Arnold / Adrian Bey [RHO],6-4 6-4
31-Jan-1960,Bangalore,,F,Margaret Hellyer / Warren Woodcock [AUS] d. Arnold / Adrian Bey [RHO],6-2 3-6 7-5
25-Jan-1960,Madras,Clay,F,Margaret Hellyer [AUS] / Naresh Kumar [IND] d. Arnold / Adrian Bey [RHO],2-6 6-3 6-2
02-Mar-1959,La Jolla Invitational,Hard,F,Karen Susman / Hugh Ditzler [USA] d. Arnold / Dennis Ralston [USA],UNK
07-Apr-1958,Aix-en-Provence,Clay,F,Arnold / Gardnar Mulloy [USA] d. Florence De La Courtie / Jean Claude Molinari [FRA],6-2 6-3
03-Oct-1957,Riverside,Hard,F,Joan Johnson / Merwin Miller [USA] d. Arnold / David Martin [USA],12-10 6-2
18-May-1957,San Bernardino,Hard,F,Joan Johnson / Merwin Miller [USA] d. Arnold / Ed Kauder [USA],6-1 8-6
