Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,16,11,5,68.8%,26-12,68.4%,208-160,56.5%,2-1,66.7%,16,73.1%,39.9%,2.6%,4.4%,64.5%,67.7%,47.6%,60.6%,45.4%,53.1%,1.15,W (Hobart)
2025,39,17,22,43.6%,37-48,43.5%,392-414,48.6%,3-8,27.3%,36,67.6%,31.1%,2.7%,4.4%,65.3%,62.4%,48.1%,57.5%,42.1%,49.7%,0.99,SF (s Hertogenbosch)
2024,41,18,23,43.9%,45-54,45.5%,461-479,49.0%,5-4,55.6%,40,64.8%,33.3%,1.8%,4.1%,67.7%,61.2%,46.9%,56.6%,43.0%,49.7%,0.99,SF (Birmingham)
2023,36,19,17,52.8%,43-40,51.8%,407-396,50.7%,6-4,60.0%,35,61.8%,40.0%,1.8%,4.6%,65.2%,57.6%,50.3%,55.0%,45.4%,50.2%,1.01,W (Lausanne)
2022,18,7,11,38.9%,17-23,42.5%,191-185,50.8%,1-3,25.0%,16,65.8%,37.7%,1.7%,3.9%,68.0%,62.6%,45.3%,57.0%,44.9%,50.8%,1.05,QF (Budapest)
2021,14,6,8,42.9%,15-17,46.9%,144-163,46.9%,1-2,33.3%,14,65.6%,27.3%,1.4%,4.0%,65.7%,61.5%,45.2%,55.9%,39.9%,48.3%,0.91,SF (Guadalajara)
2020,8,5,3,62.5%,11-6,64.7%,77-66,53.8%,1-0,100.0%,8,63.4%,43.7%,2.2%,4.3%,63.1%,63.2%,44.7%,56.4%,48.2%,52.4%,1.11,QF (Palermo)
2019,2,0,2,0.0%,1-4,20.0%,19-27,41.3%,0-0,-,2,43.5%,39.1%,0.6%,7.1%,61.7%,54.7%,35.6%,47.4%,44.7%,46.1%,0.85,R32 (Palermo)
Career,174,83,91,47.7%,195-204,48.9%,1899-1890,50.1%,19-22,46.3%,167,65.4%,35.4%,2.0%,4.3%,65.9%,61.5%,47.4%,56.7%,43.7%,50.2%,1.01,
