Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,7,Hard,12,5,7,41.7%,2,0,2,0.0%,2020,2026,R64,12,1.02,1.9%,3.6%,66.2%,62.6%,48.6%,57.8%,43.0%,64.3%,45.5%
Roland Garros,6,Clay,17,10,7,58.8%,4,3,1,75.0%,2020,2025,R16,17,1.01,1.5%,4.2%,65.3%,59.2%,48.3%,55.4%,45.3%,53.7%,55.0%
Wimbledon,3,Grass,8,5,3,62.5%,1,0,1,0.0%,2022,2025,R32,8,1.19,2.5%,6.1%,64.2%,66.3%,51.5%,61.0%,46.2%,57.1%,61.5%
US Open,4,Hard,8,4,4,50.0%,3,2,1,66.7%,2022,2025,R64,8,1.01,1.6%,5.3%,65.5%,59.7%,47.9%,55.6%,44.6%,46.7%,46.9%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2024,2024,R64,1,0.77,3.1%,6.2%,67.7%,50.0%,38.1%,46.2%,41.4%,45.5%,30.0%
Fed Cup,1,,3,3,0,100.0%,0,0,0,-,2020,2020,,3,1.68,3.4%,4.1%,57.9%,72.6%,52.5%,64.1%,60.2%,61.5%,56.7%
Miami,5,Hard,8,3,5,37.5%,1,0,1,0.0%,2021,2026,R64,8,0.85,2.0%,3.6%,71.0%,58.4%,48.1%,55.4%,38.0%,59.7%,50.0%
Dubai,2,Hard,6,4,2,66.7%,2,1,1,50.0%,2024,2026,R32,6,1.01,2.4%,4.2%,65.9%,63.2%,38.2%,54.7%,46.0%,49.1%,46.0%
Hobart,4,Hard,14,11,3,78.6%,3,1,2,33.3%,2023,2026,W,14,1.14,3.6%,4.4%,64.3%,64.4%,51.8%,59.9%,45.6%,63.9%,48.4%
Auckland,3,Hard,4,1,3,25.0%,0,0,0,-,2020,2026,R16,4,0.98,2.6%,3.2%,63.2%,63.8%,48.8%,58.3%,41.1%,50.0%,43.2%
Osaka,2,Hard,5,3,2,60.0%,3,2,1,66.7%,2024,2025,R16,5,1.00,1.7%,1.7%,71.5%,59.5%,46.6%,55.8%,44.2%,70.2%,48.7%
Beijing,3,Hard,5,2,3,40.0%,1,1,0,100.0%,2023,2025,R64,5,1.04,0.3%,5.3%,63.8%,61.4%,41.6%,54.2%,47.6%,38.1%,54.3%
