Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Hobart F,W vs Jovic,22.6%,35.8%,61.5%,26.7%,43.3%,54.5%,28.6%,43.8%,50.0%,19.0%,28.6%,70.6%,12.5%,23.1%,100.0%,1
2025 Guangzhou R16,W vs Wang,23.7%,34.2%,52.7%,25.0%,35.0%,53.3%,13.3%,20.0%,0.0%,23.1%,38.5%,50.0%,66.7%,0.0%,0.0%,97
2025 BJK Cup Finals RR,W vs Navarro,30.2%,39.7%,53.5%,28.3%,41.3%,51.5%,5.6%,60.7%,100.0%,37.5%,37.5%,60.0%,11.1%,71.4%,-,-33
2025 Wimbledon R128,W vs Pegula,26.8%,41.5%,75.9%,38.5%,57.7%,68.8%,25.0%,14.3%,-,7.1%,14.3%,84.6%,33.3%,50.0%,-,-42
2025 s Hertogenbosch R32,W vs Hartono,31.0%,34.5%,54.7%,40.9%,47.7%,61.5%,36.8%,16.0%,0.0%,22.9%,22.9%,48.1%,0.0%,20.0%,0.0%,47
2024 Cincinnati R32,L vs Sabalenka,20.8%,26.4%,51.9%,23.9%,32.6%,57.1%,39.1%,21.7%,16.7%,19.0%,19.0%,41.2%,30.0%,54.5%,100.0%,58
2024 Roland Garros R16,L vs Gauff,12.2%,17.1%,34.3%,10.7%,17.9%,28.0%,27.3%,47.1%,50.0%,16.7%,16.7%,50.0%,37.5%,25.0%,-,-11
2024 Linz R16,L vs Potapova,20.0%,30.0%,59.0%,18.5%,30.8%,60.4%,51.7%,25.0%,0.0%,24.2%,30.3%,56.0%,91.7%,38.1%,100.0%,-35
2023 Lausanne F,W vs Burel,13.6%,17.8%,54.6%,15.5%,20.2%,49.3%,12.5%,61.4%,50.0%,10.3%,13.8%,69.2%,13.3%,57.1%,-,-17
2023 Roland Garros R32,L vs Pera,16.9%,22.5%,32.7%,23.8%,33.3%,37.5%,50.0%,8.3%,0.0%,9.1%,9.1%,25.0%,81.8%,9.1%,0.0%,-39
2023 Roland Garros R64,W vs Waltert,22.4%,24.1%,44.4%,19.5%,22.0%,45.5%,5.6%,52.2%,80.0%,29.4%,29.4%,41.7%,11.1%,87.5%,100.0%,-104
2023 Roland Garros R128,W vs Kvitova,27.4%,32.9%,45.8%,36.4%,40.9%,50.0%,9.5%,17.4%,0.0%,16.7%,25.0%,40.0%,54.5%,15.4%,0.0%,40
2023 Monterrey QF,L vs Mertens,14.6%,25.0%,45.0%,19.4%,35.5%,56.0%,35.3%,14.3%,0.0%,6.3%,6.3%,26.7%,12.5%,50.0%,100.0%,-51
2023 Australian Open R128,L vs Rybakina,16.7%,21.7%,42.9%,15.2%,21.2%,50.0%,6.7%,16.7%,0.0%,19.2%,23.1%,33.3%,18.8%,30.0%,50.0%,-59
2023 Hobart F,L vs Davis,18.9%,31.1%,47.3%,17.1%,31.7%,35.3%,30.4%,55.6%,66.7%,25.0%,35.7%,66.7%,8.3%,81.3%,100.0%,79
2023 Hobart SF,W vs Kenin,29.8%,41.5%,47.6%,34.4%,45.9%,42.5%,48.1%,29.4%,0.0%,23.3%,36.7%,56.5%,5.6%,33.3%,50.0%,6
2022 BJK Cup Finals RR,L vs Andreescu,18.9%,27.0%,45.6%,14.3%,26.5%,52.4%,8.3%,8.0%,0.0%,31.8%,31.8%,26.7%,0.0%,21.4%,0.0%,41
2022 BJK Cup Finals RR,L vs Teichmann,13.2%,19.9%,46.6%,14.6%,20.4%,47.7%,51.1%,10.7%,0.0%,9.1%,18.2%,43.3%,53.3%,5.6%,0.0%,-104
2022 Roland Garros Q1,L vs Hartono,20.6%,33.3%,51.1%,25.0%,34.1%,45.5%,54.5%,22.7%,40.0%,12.5%,37.5%,64.3%,12.5%,37.5%,0.0%,2
2019 Rome R64,L vs Anisimova,7.7%,13.5%,34.1%,10.3%,13.8%,34.6%,13.3%,7.1%,0.0%,6.3%,18.8%,33.3%,14.3%,33.3%,0.0%,-66
Last 52 Weeks (5 matches),,27.1%,36.6%,58.0%,31.1%,43.2%,56.3%,20.4%,31.9%,42.9%,22.2%,27.3%,61.0%,20.5%,28.3%,20.0%,27
Career (20 matches),,20.3%,28.2%,49.1%,22.4%,31.6%,49.0%,29.3%,28.2%,20.9%,18.7%,24.8%,49.3%,28.5%,35.4%,38.5%,38
