Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1990,,,33,1860,22,1815,26,1817,18,1777,,,,
1989,14,51,14,2007,13,1908,15,1898,12,1868,,,,
1988,29,29,8,2089,8,1982,7,1986,7,1969,,,,
1987,5,120,7,2174,8,2023,5,2115,5,2081,,,,
1986,4,120,4,2285,4,2137,4,2178,3,2095,,,,
1985,,,3,2270,3,2131,3,2142,3,2075,,,,
1984,3,,4,2193,3,2027,4,2108,3,2010,,,,
1983,,,7,2100,4,2014,5,2056,9,1938,,,,
1982,,,6,2080,5,1972,6,2010,6,1933,,,,
1981,,,5,2147,5,2029,5,2060,5,2016,,,,
1980,,,4,2228,5,2040,4,2072,4,2062,,,,
1979,,,6,2013,16,1770,7,1892,5,1934,,,,
1978,,,18,1870,36,1656,9,1821,14,1757,,,,
