Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2021,2,0,2,0.0%,0-4,0.0%,11-25,30.6%,0-1,0.0%,2,44.4%,17.6%,9.0%,9.0%,51.4%,63.2%,35.2%,49.5%,34.0%,42.2%,0.67,R32 (Delray Beach)
2020,2,1,1,50.0%,1-2,33.3%,9-15,37.5%,0-0,-,2,60.0%,25.0%,7.5%,1.1%,58.1%,64.8%,43.6%,55.9%,36.1%,45.8%,0.82,R16 (Delray Beach)
2019,3,0,3,0.0%,3-7,30.0%,45-60,42.9%,2-0,100.0%,3,73.1%,9.8%,3.6%,2.5%,59.6%,64.5%,53.8%,60.2%,30.8%,46.4%,0.77,R32 (2x)
2018,10,4,6,40.0%,10-14,41.7%,112-134,45.5%,3-3,50.0%,10,75.2%,15.1%,5.6%,3.8%,64.2%,66.5%,54.8%,62.3%,30.0%,47.3%,0.80,R16 (3x)
2017,3,1,2,33.3%,3-5,37.5%,42-42,50.0%,0-2,0.0%,3,77.8%,22.2%,6.0%,3.2%,57.2%,68.1%,53.3%,61.8%,36.7%,48.8%,0.96,R32 (Houston)
2016,6,2,4,33.3%,3-10,23.1%,53-75,41.4%,4-2,66.7%,6,76.8%,11.0%,2.6%,4.2%,61.3%,67.0%,53.3%,61.7%,32.2%,47.3%,0.84,R16 (Delray Beach)
2015,1,0,1,0.0%,1-2,33.3%,14-18,43.8%,1-0,100.0%,1,86.7%,0.0%,2.1%,3.2%,55.3%,76.9%,54.8%,67.0%,26.9%,47.1%,0.82,R32 (Newport)
2014,2,0,2,0.0%,1-5,16.7%,21-31,40.4%,0-1,0.0%,2,53.8%,28.0%,0.6%,2.4%,59.1%,59.8%,46.3%,54.3%,40.3%,46.9%,0.88,R64 (Winston-Salem)
Career,29,8,21,27.6%,22-49,31.0%,307-400,43.4%,10-9,52.6%,29,72.5%,15.1%,4.5%,3.6%,60.6%,66.2%,52.0%,60.6%,32.6%,47.0%,0.83,
