Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,18,9,9,50.0%,19-19,50.0%,160-173,48.0%,2-1,66.7%,16,51.8%,45.2%,0.8%,3.1%,71.6%,53.6%,43.7%,50.8%,48.4%,49.6%,0.98,SF (W35 Sao Paulo)
2024,62,36,26,58.1%,82-62,56.9%,687-635,52.0%,7-2,77.8%,1,28.6%,12.5%,0.0%,3.6%,62.5%,51.4%,38.1%,46.4%,29.5%,39.0%,0.55,F (3x)
2023,33,21,12,63.6%,45-28,61.6%,350-283,55.3%,2-2,50.0%,2,38.1%,55.0%,0.7%,2.1%,66.2%,47.9%,39.6%,45.1%,48.6%,46.8%,0.88,F (2x)
2022,15,6,9,40.0%,12-20,37.5%,122-161,43.1%,3-0,100.0%,0,,,,,,,,,,,,R16 (3x)
2021,8,1,7,12.5%,4-14,22.2%,66-91,42.0%,0-3,0.0%,1,37.5%,22.2%,2.3%,2.3%,62.8%,48.1%,37.5%,44.2%,34.0%,38.7%,0.61,R16 (W15 Prokuplje)
2019,26,16,10,61.5%,33-29,53.2%,297-278,51.7%,5-2,71.4%,0,,,,,,,,,,,,W (2x)
2018,19,10,9,52.6%,23-18,56.1%,193-186,50.9%,4-1,80.0%,0,,,,,,,,,,,,QF (3x)
2017,29,16,13,55.2%,35-31,53.0%,318-294,52.0%,2-5,28.6%,0,,,,,,,,,,,,F (Sao Jose Dos Campos $15K)
2016,52,32,20,61.5%,67-49,57.8%,554-482,53.5%,5-6,45.5%,0,,,,,,,,,,,,W (Targu Jiu $10K)
2015,58,41,17,70.7%,84-41,67.2%,649-448,59.2%,3-6,33.3%,0,,,,,,,,,,,,W (Koper $10K)
2014,33,23,10,69.7%,51-25,67.1%,381-264,59.1%,0-0,-,0,,,,,,,,,,,,W (Villa Del Dique 10K)
2013,16,9,7,56.3%,20-17,54.1%,186-166,52.8%,0-2,0.0%,0,,,,,,,,,,,,F (Marcos Juarez 10K)
2012,6,2,4,33.3%,5-9,35.7%,60-77,43.8%,2-1,66.7%,0,,,,,,,,,,,,R16 (2x)
Career,375,222,153,59.2%,480-362,57.0%,4023-3538,53.2%,35-31,53.0%,20,48.6%,43.7%,0.8%,3.0%,70.1%,52.6%,42.5%,49.6%,47.2%,48.3%,0.94,
