Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,14,Hard,29,15,14,51.7%,6,2,4,33.3%,1996,2009,SF,14,0.99,2.2%,4.6%,67.8%,59.6%,47.6%,55.7%,44.0%,62.3%,44.4%
Roland Garros,15,Clay,32,17,15,53.1%,9,4,5,44.4%,1995,2009,R32,15,1.00,1.9%,4.5%,72.5%,60.2%,39.8%,54.6%,45.5%,54.7%,43.7%
Wimbledon,14,Grass,31,17,14,54.8%,11,3,8,27.3%,1996,2009,R16,12,0.99,2.4%,4.9%,68.5%,63.6%,45.2%,57.8%,41.7%,60.4%,46.3%
US Open,13,Hard,31,18,13,58.1%,3,2,1,66.7%,2003,2008,R16,9,0.95,1.2%,6.2%,69.6%,59.6%,41.1%,54.0%,43.6%,52.9%,47.0%
Olympics,2,,4,2,2,50.0%,2,1,1,50.0%,2000,2004,R16,0,,,,,,,,,,
Fed Cup,8,,20,13,7,65.0%,7,3,4,42.9%,2000,2008,,1,1.68,0.0%,10.0%,56.0%,82.1%,59.1%,72.0%,46.9%,100.0%,66.7%
Paris,13,Carpet,33,20,13,60.6%,8,5,3,62.5%,1996,2009,SF,9,0.99,1.5%,4.1%,70.1%,60.9%,46.0%,56.5%,43.0%,50.8%,49.1%
Rome,12,Clay,19,7,12,36.8%,3,2,1,66.7%,1997,2009,R16,4,0.82,2.0%,3.4%,73.0%,56.5%,41.3%,52.4%,39.2%,66.7%,61.1%
Eastbourne,11,Grass,28,17,11,60.7%,4,1,3,25.0%,1997,2008,QF,5,1.03,0.6%,5.8%,72.2%,63.0%,47.5%,58.7%,42.6%,51.4%,39.6%
Indian Wells,10,Hard,27,17,10,63.0%,12,6,6,50.0%,2000,2009,SF,6,0.97,1.7%,5.5%,68.1%,56.9%,44.0%,52.8%,45.7%,55.1%,45.5%
Strasbourg,10,Clay,21,11,10,52.4%,3,2,1,66.7%,1995,2009,SF,2,0.84,0.6%,2.9%,69.4%,46.7%,50.9%,48.0%,43.7%,31.8%,38.1%
Miami,10,Hard,19,9,10,47.4%,5,1,4,20.0%,2000,2009,QF,6,1.04,3.1%,3.8%,71.0%,56.8%,44.6%,53.2%,48.8%,51.9%,50.8%
