Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2024 US Open R128,L vs Rybakina,43% (6/14),20% (1/5),0/3,0/0,50% (3/6),1/3,0/1,0% (0/4),25% (1/4)
2022 Melbourne 1 R32,L vs Halep,42% (5/12),50% (1/2),0/0,0/0,43% (3/7),0/2,0/1,- (0/0),- (0/0)
2021 Australian Open R128,L vs Stosur,33% (4/12),50% (4/8),0/0,0/0,50% (6/12),1/3,1/2,- (0/0),- (0/0)
2019 S-Hertogenbosch R16,L vs Kudermetova,57% (4/7),0% (0/1),0/0,0/0,43% (3/7),3/5,1/2,- (0/0),- (0/0)
2019 S-Hertogenbosch R32,W vs Sabalenka,60% (9/15),50% (4/8),2/2,1/1,44% (4/9),0/1,0/0,80% (4/5),60% (3/5)
2019 W80 Charlottesville VA R32,L vs Gleason,46% (11/24),67% (4/6),1/1,0/0,64% (9/14),0/2,0/1,- (0/0),- (0/0)
2019 Charleston R64,L vs Bencic,40% (2/5),25% (1/4),0/0,0/0,33% (3/9),2/4,1/2,- (0/0),- (0/0)
2019 W25 Canberra F,W vs Ozaki,75% (6/8),67% (6/9),2/2,1/1,60% (3/5),0/0,0/0,- (0/0),- (0/0)
2019 W25 Canberra SF,W vs Rogowska,43% (9/21),50% (3/6),2/4,1/1,100% (7/7),0/0,0/0,- (0/0),- (0/0)
2019 W25 Canberra QF,W vs Gerlach,47% (9/19),33% (7/21),2/4,1/1,40% (2/5),3/4,0/0,- (0/0),- (0/0)
2019 W25 Canberra R16,W vs Bains,53% (9/17),67% (4/6),2/3,1/2,50% (2/4),0/0,0/0,- (0/0),- (0/0)
2019 W25 Mildura QF,L vs Mcphee,69% (9/13),57% (4/7),1/5,0/0,44% (4/9),1/3,0/1,67% (6/9),44% (4/9)
2019 W25 Mildura R16,W vs Mihalikova,58% (7/12),50% (5/10),2/2,1/1,63% (5/8),0/0,0/0,80% (4/5),50% (3/6)
2019 W25 Mildura R32,W vs Hanatani,53% (9/17),50% (6/12),2/4,1/3,62% (8/13),1/2,0/0,- (0/0),- (0/0)
2019 W60 Launceston R32,L vs Siegemund,60% (3/5),50% (2/4),0/0,0/0,50% (6/12),0/2,0/1,- (0/0),- (0/0)
2019 W60 Burnie R16,L vs Cabrera,64% (9/14),70% (7/10),1/1,0/0,45% (5/11),3/5,3/4,67% (4/6),17% (1/6)
2019 Australian Open R128,L vs Keys,29% (4/14),0% (0/1),0/0,0/0,73% (11/15),3/5,0/1,- (0/0),- (0/0)
2019 Brisbane R16,L vs Osaka,83% (5/6),0% (0/6),0/0,0/0,40% (2/5),3/5,0/1,- (0/0),- (0/0)
2018 Kashiwa $25K SF,L vs Andreescu,71% (5/7),0% (0/2),0/0,0/0,20% (1/5),0/2,0/1,- (0/0),- (0/0)
2018 Australian Open R128,L vs Halep,31% (4/13),38% (3/8),0/2,0/0,62% (8/13),1/3,0/1,50% (3/6),33% (2/6)
2024 (1 matches),,42.9%,20.0%,0.0%,-,50.0%,33.3%,0.0%,0.0%,25.0%
2022 (1 matches),,41.7%,50.0%,-,-,42.9%,0.0%,0.0%,-,-
2021 (1 matches),,33.3%,50.0%,-,-,50.0%,33.3%,50.0%,-,-
2019 (15 matches),,53.3%,47.7%,60.7%,70.0%,55.6%,50.0%,38.5%,72.0%,42.3%
2018 (2 matches),,45.0%,30.0%,0.0%,-,50.0%,20.0%,0.0%,50.0%,33.3%
Career (58 matches),,54.6%,46.1%,55.4%,54.4%,58.8%,47.9%,51.8%,60.8%,39.7%
