Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2024 US Open R128,L vs Rybakina,13,23,0.6,9.4%,16.5%,8,18,0.4,7.2%,16.2%,4.5%,2.7%,1.0,23.0%,23.0%
2022 Melbourne 1 R32,L vs Halep,20,17,1.2,16.4%,13.9%,18,16,1.1,15.8%,14.0%,8.8%,7.0%,2.6,21.3%,8.2%
2021 Australian Open R128,L vs Stosur,17,30,0.6,12.0%,21.1%,17,30,0.6,12.7%,22.4%,,,0.9,13.4%,14.8%
2019 S-Hertogenbosch R32,W vs Sabalenka,24,18,1.3,12.7%,9.5%,18,15,1.2,11.0%,9.2%,8.6%,2.5%,1.1,20.6%,19.6%
2018 Kashiwa $25K SF,L vs Andreescu,12,30,0.4,11.5%,28.8%,8,23,0.3,9.2%,26.4%,3.4%,3.4%,0.8,13.5%,16.3%
2018 Australian Open R128,L vs Halep,24,44,0.5,15.4%,28.2%,22,35,0.6,15.5%,24.6%,7.7%,7.7%,1.0,12.2%,12.8%
2017 Perth $25K R32,W vs Lu,15,32,0.5,12.2%,26.0%,14,30,0.5,12.3%,26.3%,9.6%,2.6%,0.3,8.9%,31.7%
2017 Australian Open R128,L vs Barthel,25,38,0.7,17.2%,26.2%,22,31,0.7,17.5%,24.6%,13.5%,4.0%,0.8,13.1%,16.6%
2016 Brisbane $25K R16,L vs Hruncakova,29,41,0.7,14.6%,20.6%,26,39,0.7,14.9%,22.3%,10.3%,3.4%,0.9,17.6%,20.6%
Career (9 matches),,179,273,0.7,13.6%,20.7%,153,237,0.6,13.1%,20.3%,7.6%,3.7%,0.9,16.2%,18.3%
