Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2024,588,58,408,1319,392,1286,,,245,1356,149,486,,
2023,306,173,361,1357,348,1324,,,227,1384,,,,
2022,561,56,386,1321,355,1305,,,,,,,,
2021,642,42,,,,,,,,,,,,
2020,372,110,,,,,,,,,38,2352,,
2019,321,124,347,1385,321,1370,402,1252,216,1400,84,969,,
2018,362,54,344,1343,327,1313,,,,,121,628,,
2017,521,62,337,1353,325,1320,,,202,1422,130,608,,
2016,263,196,278,1432,267,1386,320,1295,161,1484,141,558,,
2015,187,266,248,1464,253,1410,292,1350,134,1531,403,163,,
2014,164,313,222,1503,237,1440,,,118,1552,646,72,,
2013,398,100,384,1171,379,1153,,,,,1076,22,,
2012,349,124,,,,,,,,,534,99,,
2011,1175,4,,,,,,,,,656,62,,
2010,1376,2,,,,,,,,,,,,
2009,1663,1,,,,,,,,,,,,
