Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2016 Toyota CH R16,W vs Lee,53.2%,51.2%,6.5%,4/1,2.39,6.5%,47.8%,50.0%,6.5%,2.04,12.5%,70.4%,52.6%,7.4%,2.80,0.0%
2015 Ho Chi Minh City CH R16,L vs Cipolla,76.1%,37.3%,3.0%,0/2,2.41,78.3%,83.7%,38.9%,2.3%,2.12,41.2%,78.9%,33.3%,5.3%,2.59,100.0%
Career (2 matches),,63.9%,43.5%,4.9%,57.1%,2.40,42.4%,65.2%,43.1%,4.5%,2.07,24.4%,73.9%,44.1%,6.5%,2.68,56.9%
