Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2026 Miami F,W vs Lehecka,3.5,3.3,3.6,52.4%,53.1%,66.7%,71.4%,55.4%,2.4%,6.0,6.0,3.0,3.7
2026 Miami QF,W vs Tiafoe,3.9,3.0,4.7,62.5%,72.7%,66.7%,44.4%,52.8%,7.9%,14.5,18.1,2.0,2.9
2026 Indian Wells F,W vs Medvedev,4.5,4.1,4.9,55.4%,66.7%,36.0%,44.4%,47.3%,8.5%,8.5,6.3,-8.5,-5.7
2026 Indian Wells QF,W vs Tien,4.0,4.1,3.8,62.7%,65.5%,77.8%,25.0%,55.0%,9.7%,5.0,6.5,3.0,4.6
2026 Indian Wells R16,W vs Fonseca,4.0,4.2,3.9,54.1%,45.2%,36.4%,50.0%,61.7%,6.1%,9.0,6.0,-3.5,-3.8
2026 Indian Wells R32,W vs Shapovalov,3.6,2.7,4.2,59.1%,61.1%,80.0%,80.0%,51.4%,2.8%,3.0,4.6,9.0,13.0
2026 Doha QF,L vs Mensik,3.8,3.9,3.6,51.4%,41.5%,75.0%,46.2%,54.9%,7.6%,9.5,7.1,1.5,1.4
2026 Australian Open SF,L vs Djokovic,4.4,3.9,4.8,54.5%,50.9%,47.2%,47.1%,48.1%,8.2%,18.0,7.6,17.5,7.1
2026 Australian Open QF,W vs Shelton,4.0,4.2,3.8,53.8%,64.0%,40.0%,58.8%,59.8%,2.4%,14.0,8.0,7.5,6.3
2026 Australian Open R16,W vs Darderi,3.8,4.1,3.6,55.1%,59.3%,63.6%,62.5%,58.8%,7.9%,21.0,13.6,6.5,6.3
2026 Australian Open R32,W vs Spizzirri,5.2,5.3,5.1,55.0%,46.7%,44.4%,47.7%,43.2%,7.5%,20.5,9.3,3.0,1.1
2026 Australian Open R64,W vs Duckworth,3.3,2.8,3.7,58.1%,65.6%,77.8%,50.0%,48.2%,11.0%,10.5,12.2,8.0,9.2
2026 Australian Open R128,W vs Gaston,4.8,4.1,5.6,61.5%,53.8%,68.8%,81.8%,55.7%,11.0%,11.0,11.3,4.0,5.5
2025 Tour Finals F,W vs Alcaraz,3.9,4.1,3.7,53.8%,37.5%,46.2%,83.3%,51.1%,6.0%,11.0,10.2,-2.5,-2.3
2025 Tour Finals SF,W vs De Minaur,4.8,4.5,5.0,56.8%,59.5%,72.2%,38.9%,48.8%,2.6%,11.5,7.9,7.5,5.0
2025 Tour Finals RR,W vs Shelton,4.0,4.1,3.9,54.5%,59.3%,25.0%,61.5%,59.1%,2.4%,8.0,7.3,3.0,3.9
2025 Tour Finals RR,W vs Zverev,3.8,3.7,4.1,56.8%,46.2%,44.4%,63.6%,43.9%,8.3%,7.5,11.4,1.0,1.1
2025 Tour Finals RR,W vs Auger Aliassime,3.0,3.0,3.1,59.8%,71.4%,55.6%,20.0%,44.9%,4.9%,4.0,6.5,9.5,12.5
2025 Paris F,W vs Auger Aliassime,4.3,4.5,4.1,49.4%,64.3%,64.7%,58.3%,51.7%,7.9%,16.5,15.3,-0.5,-0.5
2025 Paris SF,W vs Zverev,4.8,3.5,5.6,59.5%,70.6%,75.0%,88.9%,48.5%,4.5%,13.5,18.5,2.5,3.0
Career (290 matches),,4.3,4.3,4.2,53.6%,54.4%,52.8%,54.7%,51.0%,6.2%,10.0,7.4,3.8,3.0
