Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2015,,,,,,,,,,,1582,6,,
2013,135,425,74,1743,82,1669,88,1660,32,1745,109,700,66,1661
2012,63,746,57,1770,68,1691,83,1682,24,1776,47,1485,46,1708
2011,49,910,55,1799,54,1725,59,1720,26,1774,26,2410,33,1752
2010,60,816,56,1796,55,1738,69,1701,23,1758,336,180,,
2009,94,547,55,1791,40,1763,78,1691,34,1730,540,87,,
2008,162,263,80,1729,71,1693,75,1697,56,1657,165,345,,
2007,112,390,66,1758,38,1771,,,,,159,350,,
2006,37,910,33,1849,29,1808,40,1787,32,1731,82,670,67,1616
2005,47,731,48,1804,46,1742,43,1773,29,1736,63,900,50,1660
2004,48,798,49,1814,61,1720,40,1775,22,1756,39,1315,42,1680
2003,55,640,38,1849,33,1798,44,1777,23,1748,97,575,61,1609
2002,25,1225,33,1880,31,1821,35,1801,18,1785,391,90,,
2001,33,1045,28,1884,32,1817,46,1778,36,1710,,,,
2000,127,307,90,1726,81,1691,97,1660,,,,,,
1999,145,316,145,1642,155,1558,102,1662,126,1514,507,78,,
1998,161,290,135,1654,223,1463,100,1678,,,443,89,,
1997,846,11,,,,,,,,,577,59,,
1996,822,11,,,,,,,,,896,18,,
