Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,12,Hard,26,14,12,53.8%,11,8,3,72.7%,2002,2013,R32,23,0.97,7.1%,2.5%,53.5%,70.1%,50.5%,61.0%,38.0%,59.7%,44.9%
Roland Garros,11,Clay,24,13,11,54.2%,8,4,4,50.0%,1999,2013,R16,24,1.04,7.2%,2.3%,55.4%,68.7%,49.9%,60.3%,41.3%,56.7%,37.9%
Wimbledon,13,Grass,36,23,13,63.9%,19,14,5,73.7%,1999,2013,SF,33,1.11,10.6%,2.4%,60.6%,75.4%,52.6%,66.4%,37.4%,60.9%,41.1%
US Open,14,Hard,34,20,14,58.8%,18,6,12,33.3%,1999,2013,R16,30,1.06,9.6%,3.3%,54.9%,73.9%,52.1%,64.1%,38.0%,58.9%,45.1%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2004,2004,R64,0,,,,,,,,,,
Davis Cup,10,,20,12,8,60.0%,16,9,7,56.3%,1998,2011,,0,,,,,,,,,,
Delray Beach,12,Hard,36,25,11,69.4%,15,9,6,60.0%,1999,2013,W,34,1.15,8.5%,3.2%,55.8%,74.5%,50.4%,63.8%,41.5%,60.7%,41.4%
Miami Masters,12,Hard,24,12,12,50.0%,6,4,2,66.7%,1999,2013,R32,24,1.08,8.5%,3.0%,55.3%,71.2%,50.6%,62.0%,40.9%,61.7%,47.2%
Queen's Club,10,Grass,29,19,10,65.5%,11,8,3,72.7%,2001,2013,QF,26,1.20,11.8%,2.6%,60.9%,77.8%,54.3%,68.6%,37.7%,65.6%,41.4%
Memphis,10,Hard,21,11,10,52.4%,9,6,3,66.7%,2001,2013,SF,21,1.01,10.6%,1.8%,59.9%,74.0%,51.9%,65.1%,35.4%,69.0%,37.5%
Indian Wells Masters,10,Hard,20,10,10,50.0%,8,4,4,50.0%,1999,2013,R16,20,1.08,8.2%,2.9%,58.0%,73.8%,51.5%,64.5%,38.6%,62.6%,44.4%
San Jose,10,Hard,19,9,10,47.4%,5,3,2,60.0%,2000,2013,SF,18,0.95,7.8%,2.7%,57.5%,70.2%,51.8%,62.4%,35.7%,52.9%,38.1%
