Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2007,931,10,,,,,,,,,715,45,,
2006,129,356,60,1768,42,1756,50,1730,52,1647,96,535,49,1650
2005,48,725,70,1763,51,1728,51,1748,48,1680,80,725,60,1638
2004,24,1195,16,1908,20,1843,19,1862,25,1750,37,1325,30,1736
2003,13,1510,17,1904,21,1851,14,1884,30,1736,52,925,23,1728
2002,7,2335,12,1966,11,1914,11,1935,37,1707,21,2100,25,1742
2001,29,1091,17,1932,37,1805,7,1943,43,1692,8,3090,,
2000,53,755,55,1811,55,1737,38,1823,71,1624,10,2960,,
1999,40,973,39,1857,34,1801,24,1847,62,1657,32,1636,,
1998,75,669,51,1829,50,1754,42,1823,80,1600,32,1649,,
1997,48,848,47,1839,37,1811,58,1770,78,1610,61,1074,,
1996,52,830,65,1820,44,1792,50,1799,79,1627,50,1229,,
1995,53,,52,1838,137,1625,34,1828,,,69,979,,
1994,205,,182,1597,228,1473,159,1594,,,392,106,,
1993,286,,,,,,,,,,462,70,,
