Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,7,Hard,20,13,7,65.0%,11,5,6,45.5%,1996,2004,SF,20,1.13,5.7%,2.3%,67.2%,68.5%,51.3%,62.9%,41.9%,59.4%,50.4%
Roland Garros,10,Clay,21,11,10,52.4%,5,2,3,40.0%,1996,2006,R16,21,1.01,4.9%,2.9%,61.9%,67.5%,46.2%,59.4%,41.1%,59.4%,42.6%
Wimbledon,11,Grass,19,8,11,42.1%,12,5,7,41.7%,1996,2006,R32,19,0.92,4.7%,2.9%,72.0%,67.2%,47.7%,61.7%,35.3%,63.6%,46.7%
US Open,12,Hard,32,20,12,62.5%,10,4,6,40.0%,1995,2006,R16,31,1.12,6.1%,3.5%,64.8%,72.4%,49.9%,64.5%,39.8%,63.8%,46.2%
Olympics,3,,4,1,3,25.0%,0,0,0,-,1996,2004,R32,0,,,,,,,,,,
Davis Cup,10,,22,17,5,77.3%,16,12,4,75.0%,1996,2006,,0,,,,,,,,,,
Gstaad,9,Clay,23,16,7,69.6%,7,4,3,57.1%,1996,2006,W,23,1.16,6.4%,3.3%,59.8%,73.6%,49.7%,64.0%,41.8%,60.7%,39.7%
Miami Masters,9,Hard,16,7,9,43.8%,5,0,5,0.0%,1997,2005,R16,15,0.98,5.1%,3.2%,63.8%,66.7%,51.0%,61.0%,38.4%,67.3%,37.6%
Canada Masters,8,Hard,23,15,8,65.2%,6,5,1,83.3%,1996,2005,SF,23,1.10,6.0%,3.5%,64.6%,71.4%,49.0%,63.5%,40.1%,59.4%,40.5%
Monte Carlo Masters,8,Clay,16,8,8,50.0%,2,0,2,0.0%,1996,2005,R16,16,1.02,2.7%,2.9%,64.1%,67.3%,48.0%,60.4%,40.2%,66.4%,34.1%
Cincinnati Masters,8,Hard,14,6,8,42.9%,9,3,6,33.3%,1997,2005,R16,14,0.96,5.2%,2.8%,63.8%,71.0%,46.4%,62.1%,36.6%,63.1%,37.5%
Indian Wells Masters,8,Hard,13,5,8,38.5%,1,0,1,0.0%,1996,2005,R32,12,0.90,5.7%,4.2%,66.3%,66.1%,47.6%,59.8%,36.1%,48.5%,38.5%
