Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2003 Paris SF,L vs Pavel,20.7%,26.8%,48.4%,24.9%,29.8%,34.0%,48.5%,37.0%,55.0%,22.2%,28.6%,9.4%,18.8%,48.3%,-24
2003 Gstaad F,W vs Federer,27.5%,39.4%,51.5%,34.6%,33.7%,47.2%,52.5%,45.2%,53.7%,52.1%,66.7%,18.4%,28.6%,50.0%,35
2003 Dubai F,L vs Federer,14.3%,19.0%,43.4%,17.8%,13.9%,19.4%,38.7%,20.0%,61.1%,44.4%,33.3%,15.4%,19.2%,50.0%,-23
2002 Masters Cup RR,W vs Agassi,34.5%,41.4%,55.6%,40.2%,42.9%,51.4%,55.0%,52.3%,66.7%,23.5%,100.0%,23.8%,28.6%,56.3%,53
2002 Madrid SF,W vs Santoro,16.0%,36.0%,63.4%,27.8%,13.3%,36.7%,65.4%,33.0%,75.0%,27.8%,100.0%,21.1%,36.8%,60.0%,-3
2002 Vienna F,L vs Federer,24.1%,30.2%,47.6%,28.2%,31.4%,41.4%,43.8%,38.1%,50.0%,36.1%,0.0%,15.0%,15.0%,52.9%,29
2002 Canada SF,L vs Roddick,31.7%,43.9%,46.4%,40.7%,38.5%,57.7%,62.5%,52.7%,64.3%,41.7%,0.0%,20.0%,20.0%,25.0%,-79
2002 Rome SF,L vs Agassi,25.7%,31.4%,47.1%,28.0%,34.8%,39.1%,50.0%,38.3%,57.9%,44.4%,50.0%,8.7%,17.4%,42.9%,-26
2002 Australian Open SF,L vs Johansson,28.6%,38.5%,53.1%,33.6%,34.2%,47.4%,50.7%,41.3%,48.1%,45.2%,37.5%,15.6%,17.8%,57.9%,-15
2000 Canada SF,L vs Levy,11.0%,27.5%,52.6%,20.2%,14.3%,35.7%,56.3%,29.3%,66.7%,46.2%,25.0%,6.3%,15.6%,46.7%,-55
Career (10 matches),,23.8%,33.6%,50.9%,29.7%,29.7%,41.9%,51.3%,39.1%,57.0%,40.5%,37.8%,14.9%,21.2%,50.2%,24
