Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2003 Paris SF,L vs Pavel,0.0%,-,8.2%,73.3%,10.7%,11.9%,0.0%,8.8%,25.0%,0.3%,0.0%,-53,-40
2003 Gstaad F,W vs Federer,0.7%,0.0%,9.0%,69.2%,15.1%,20.4%,25.0%,16.8%,31.3%,1.1%,25.0%,48,31
2003 Dubai F,L vs Federer,0.0%,-,7.4%,44.4%,11.8%,16.7%,0.0%,6.6%,13.6%,0.0%,-,-72,-81
2002 Masters Cup RR,W vs Agassi,2.0%,100.0%,9.4%,90.9%,10.2%,16.0%,66.7%,12.8%,36.0%,0.4%,0.0%,-74,-42
2002 Madrid SF,W vs Santoro,0.0%,-,23.6%,72.0%,24.4%,26.2%,0.0%,6.8%,11.5%,0.0%,-,11,-11
2002 Vienna F,L vs Federer,2.6%,33.3%,18.1%,64.3%,11.7%,19.7%,0.0%,7.8%,17.6%,0.0%,-,-24,-21
2002 Canada SF,L vs Roddick,0.0%,-,6.5%,83.3%,6.5%,3.2%,33.3%,5.9%,22.2%,1.0%,0.0%,-48,-45
2002 Rome SF,L vs Agassi,0.0%,-,6.4%,44.4%,7.3%,9.7%,0.0%,6.7%,24.0%,0.7%,100.0%,-57,-49
2002 Australian Open SF,L vs Johansson,1.4%,100.0%,13.2%,71.1%,13.4%,21.5%,0.0%,6.2%,15.8%,0.6%,0.0%,-74,-49
2000 Canada SF,L vs Levy,1.1%,100.0%,19.8%,82.9%,14.1%,18.9%,0.0%,6.4%,31.3%,0.3%,100.0%,-14,-39
Career (10 matches),,1.0%,62.5%,12.4%,70.8%,12.6%,17.6%,14.8%,8.3%,22.2%,0.4%,28.6%,-35,-32
