Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,8,Hard,16,8,8,50.0%,4,2,2,50.0%,1995,2005,R32,3,0.95,4.1%,3.6%,68.0%,62.9%,43.5%,56.7%,41.1%,45.8%,55.6%
Roland Garros,7,Clay,11,3,8,27.3%,0,0,0,-,1999,2005,R128,2,0.81,0.7%,3.4%,75.0%,41.4%,48.6%,43.2%,45.9%,33.3%,40.7%
Wimbledon,7,Grass,12,5,7,41.7%,2,2,0,100.0%,1995,2004,R64,1,0.34,4.9%,12.2%,58.5%,54.2%,11.8%,36.6%,21.6%,37.5%,0.0%
US Open,8,Hard,17,9,8,52.9%,2,0,2,0.0%,1994,2004,R64,3,0.98,0.8%,8.8%,57.8%,60.0%,41.5%,52.2%,46.7%,52.8%,57.1%
Fed Cup,3,,6,3,3,50.0%,1,0,1,0.0%,2002,2005,,0,,,,,,,,,,
Berlin,7,Clay,13,6,7,46.2%,5,3,2,60.0%,1999,2005,R32,0,,,,,,,,,,
Leipzig,5,Carpet,13,8,5,61.5%,2,0,2,0.0%,1994,2002,R16,0,,,,,,,,,,
Zurich,5,Hard,11,6,5,54.5%,2,1,1,50.0%,1994,2003,R32,0,,,,,,,,,,
Paris,5,Carpet,8,3,5,37.5%,4,2,2,50.0%,1999,2004,Q3,0,,,,,,,,,,
Luxembourg,5,Hard,8,3,5,37.5%,1,0,1,0.0%,1996,2004,QF,0,,,,,,,,,,
Filderstadt,5,Hard,8,3,5,37.5%,1,1,0,100.0%,1995,2003,Q2,0,,,,,,,,,,
