Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2005,338,74,,,,,,,,,,,,
2004,84,425,111,1689,104,1627,91,1630,105,1531,,,,
2003,48,720,60,1793,51,1737,59,1713,84,1571,,,,
2002,62,575,71,1771,75,1680,75,1685,102,1544,,,,
2001,116,327,120,1644,122,1565,115,1570,112,1522,,,,
2000,137,226,146,1571,136,1525,146,1508,160,1397,,,,
1999,118,235,135,1601,153,1464,104,1587,146,1434,,,,
1998,181,124,,,,,,,,,,,,
1997,303,50,,,,,,,,,,,,
1996,288,52,,,,,,,,,,,,
1995,257,4,156,1404,156,1340,147,1373,133,1360,,,,
1994,221,5,,,,,,,,,,,,
