Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),201,300,171,1610,162,1573,181,1527,80,1603,,,,
2025,185,317,159,1621,145,1585,175,1533,78,1608,,,,
2024,164,364,103,1695,88,1676,117,1609,66,1636,862,45,,
2023,38,1131,55,1783,44,1753,69,1693,36,1695,,,,
2022,27,1585,34,1848,34,1811,60,1713,21,1767,,,,
2021,25,1942,44,1821,41,1776,58,1710,21,1754,,,,
2020,32,1589,26,1836,25,1801,86,1648,,,143,585,,
2019,42,1124,62,1780,60,1730,93,1638,28,1726,149,495,68,1672
2018,192,266,83,1719,77,1680,,,60,1648,522,29,,
2017,133,420,63,1770,55,1737,124,1588,65,1645,315,180,,
2016,66,736,85,1725,81,1681,,,83,1599,277,250,,
2015,183,274,123,1647,107,1624,,,125,1541,1041,29,,
2014,305,162,171,1573,148,1555,248,1404,153,1490,1280,15,,
2013,150,346,114,1658,104,1618,215,1466,122,1542,719,59,,
2012,297,153,208,1526,194,1487,,,,,663,63,,
2011,342,125,265,1451,258,1404,,,228,1392,657,62,,
2010,363,114,309,1404,318,1326,,,200,1405,498,94,,
2009,261,167,299,1431,282,1385,,,238,1362,643,59,,
2008,477,57,,,,,,,,,863,32,,
2007,1258,3,,,,,,,,,931,24,,
2006,1541,1,,,,,,,,,1116,12,,
