Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2024 US Open R128,W vs Khachanov,72.8%,50.0%,6.0%,11/0,2.32,8.1%,69.9%,51.4%,1.9%,2.29,16.7%,83.8%,48.4%,12.2%,2.35,0.0%
2024 Olympics R64,W vs Echargui,76.5%,51.6%,7.4%,3/3,1.97,8.5%,69.8%,40.0%,7.0%,1.77,15.2%,91.4%,62.5%,8.6%,2.23,0.0%
2024 Bordeaux CH QF,L vs Shang,90.1%,40.7%,3.0%,2/1,2.05,6.0%,91.3%,38.1%,2.9%,1.98,11.1%,87.5%,46.4%,3.1%,2.13,0.0%
2023 US Open R32,L vs Alcaraz,75.5%,32.5%,13.2%,6/8,2.13,16.5%,71.7%,37.2%,5.0%,1.92,23.5%,88.1%,27.0%,26.2%,2.39,7.5%
2023 Washington F,W vs Griekspoor,55.4%,58.1%,8.9%,5/0,2.27,15.4%,41.7%,46.7%,8.3%,2.39,21.7%,94.1%,68.8%,11.8%,2.13,6.3%
2023 Rome R64,L vs Carballes Baena,80.6%,42.6%,5.2%,4/3,2.35,2.5%,82.0%,42.9%,3.6%,2.38,4.5%,85.0%,41.2%,15.0%,2.31,0.0%
2023 Barcelona SF,L vs Alcaraz,82.4%,42.9%,17.6%,3/6,2.04,8.1%,75.8%,40.0%,18.2%,1.93,13.6%,94.4%,47.1%,16.7%,2.20,0.0%
2022 Vienna QF,L vs Shapovalov,65.4%,29.4%,1.9%,1/0,-,11.1%,68.6%,20.8%,0.0%,-,15.7%,71.4%,50.0%,7.1%,-,0.0%
2022 Vienna R16,W vs Khachanov,75.0%,64.3%,3.6%,1/1,-,40.0%,72.2%,65.4%,5.6%,-,63.2%,94.1%,62.5%,0.0%,-,0.0%
2022 Davis Cup Finals RR,W vs Griekspoor,71.0%,52.3%,6.5%,4/0,2.41,20.4%,58.3%,38.1%,8.3%,2.63,33.3%,88.5%,65.2%,3.8%,2.14,4.2%
2022 Cincinnati R64,L vs Krajinovic,70.9%,30.8%,3.6%,0/2,-,32.4%,64.3%,22.2%,0.0%,-,52.2%,91.3%,38.1%,8.7%,-,0.0%
2022 Canada SF,L vs Carreno Busta,74.0%,41.9%,7.0%,6/1,2.39,18.1%,67.2%,31.7%,4.9%,2.18,29.2%,86.8%,54.5%,10.5%,2.67,2.9%
2022 Eastbourne R16,L vs Cressy,48.7%,43.2%,5.3%,1/3,2.06,20.4%,49.0%,54.2%,2.0%,2.14,18.5%,68.4%,23.1%,15.8%,1.98,22.2%
2022 Queens Club R32,L vs Berrettini,45.5%,60.0%,3.0%,1/1,-,13.6%,30.4%,64.3%,4.3%,-,25.0%,94.1%,56.3%,0.0%,-,0.0%
2022 Indian Wells R32,L vs Nadal,71.2%,29.8%,4.5%,1/2,2.22,0.0%,72.5%,34.5%,2.5%,2.17,0.0%,85.7%,22.2%,9.5%,2.27,0.0%
2022 Indian Wells R64,W vs Coria,83.3%,70.0%,0.0%,0/0,-,7.7%,86.2%,72.0%,0.0%,-,20.0%,83.3%,66.7%,0.0%,-,0.0%
2022 Australian Open R128,W vs Goffin,76.3%,60.3%,5.3%,3/1,-,10.5%,69.0%,62.1%,4.8%,-,9.1%,90.6%,58.6%,6.3%,-,12.5%
2022 Sydney QF,W vs Cressy,54.2%,46.2%,6.9%,0/5,2.22,5.4%,56.1%,43.5%,7.3%,2.21,0.0%,72.7%,50.0%,9.1%,2.22,11.1%
2021 Vienna R32,L vs Alcaraz,78.9%,46.7%,10.5%,4/2,-,7.7%,79.5%,45.2%,5.1%,-,12.0%,82.4%,50.0%,23.5%,-,0.0%
2021 US Open R16,L vs Medvedev,53.8%,42.9%,7.7%,3/3,-,3.0%,44.6%,36.0%,7.1%,-,4.5%,85.0%,52.9%,10.0%,-,0.0%
Career (46 matches),,71.4%,47.4%,5.7%,51.0%,2.31,15.9%,67.3%,44.6%,4.4%,2.26,22.3%,86.8%,51.3%,8.7%,2.37,7.1%
