Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,12,Hard,29,17,12,58.6%,11,6,5,54.5%,2010,2026,R16,25,0.99,6.1%,3.7%,60.7%,71.7%,51.2%,63.7%,36.0%,62.2%,40.3%
Roland Garros,9,Clay,11,2,9,18.2%,3,2,1,66.7%,2014,2025,R64,11,0.86,3.2%,4.3%,61.0%,63.4%,44.0%,55.8%,38.2%,55.6%,39.3%
Wimbledon,14,Grass,25,11,14,44.0%,13,8,5,61.5%,2009,2025,R32,19,0.95,6.3%,4.6%,60.4%,70.0%,51.1%,62.5%,35.5%,60.2%,38.9%
US Open,11,Hard,30,19,11,63.3%,21,9,12,42.9%,2009,2025,R16,29,1.05,5.2%,4.5%,57.9%,71.9%,51.5%,63.3%,38.6%,62.0%,39.6%
Olympics,1,,2,1,1,50.0%,0,0,0,-,2024,2024,R32,2,0.87,8.4%,3.8%,61.8%,72.8%,38.0%,59.5%,35.3%,66.7%,50.0%
Davis Cup,13,,36,14,22,38.9%,16,8,8,50.0%,2009,2024,,19,0.96,5.4%,3.2%,62.9%,69.8%,49.0%,62.1%,36.5%,57.5%,36.0%
Washington,7,Hard,17,11,6,64.7%,6,2,4,33.3%,2009,2025,W,16,1.10,6.8%,4.5%,58.4%,70.4%,53.7%,63.5%,40.2%,55.4%,47.7%
Eastbourne,6,Grass,12,6,6,50.0%,3,1,2,33.3%,2009,2025,QF,10,1.01,4.5%,3.5%,61.3%,71.7%,52.7%,64.3%,35.9%,57.9%,34.7%
Queen's Club,13,Grass,21,8,13,38.1%,8,3,5,37.5%,2008,2025,QF,20,0.98,8.3%,4.8%,58.3%,74.9%,50.8%,64.8%,34.6%,65.0%,40.7%
Dubai,6,Hard,10,4,6,40.0%,2,2,0,100.0%,2017,2025,SF,10,0.92,4.6%,2.7%,60.3%,69.4%,44.3%,59.4%,37.3%,56.4%,37.5%
Rotterdam,2,Hard,4,2,2,50.0%,1,0,1,0.0%,2020,2025,QF,4,1.00,5.3%,3.1%,59.9%,75.8%,55.2%,67.6%,32.3%,46.2%,42.9%
Shanghai Masters,3,Hard,7,4,3,57.1%,3,0,3,0.0%,2019,2024,R32,7,1.13,8.7%,2.2%,63.0%,73.1%,55.7%,66.7%,37.6%,71.1%,56.1%
