Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2024 US Open R32,L vs De Minaur,20,35,0.6,9.4%,16.5%,16,26,0.6,8.9%,14.5%,5.6%,2.8%,1.4,26.4%,19.3%
2024 US Open R64,W vs Navone,30,27,1.1,15.8%,14.2%,27,23,1.2,15.4%,13.1%,9.7%,5.1%,1.1,20.5%,18.9%
2024 US Open R128,W vs Khachanov,53,43,1.2,13.5%,11.0%,39,31,1.3,11.3%,9.0%,8.1%,3.2%,1.1,20.2%,18.6%
2024 Paris Olympics R64,W vs Echargui,32,28,1.1,18.7%,16.4%,24,25,1.0,15.6%,16.2%,9.7%,5.2%,1.0,14.6%,14.6%
2024 Wimbledon R128,L vs Tabilo,27,29,0.9,14.6%,15.7%,22,22,1.0,13.9%,13.9%,12.0%,1.3%,2.4,23.2%,9.7%
2024 Bordeaux CH QF,L vs Shang,36,33,1.1,20.1%,18.4%,29,30,1.0,17.4%,18.0%,10.8%,3.6%,1.0,15.6%,15.6%
2023 US Open R32,L vs Alcaraz,28,24,1.2,11.8%,10.1%,20,19,1.1,9.3%,8.8%,4.2%,3.7%,2.7,25.6%,9.7%
2023 US Open R64,W vs Van De Zandschulp,29,15,1.9,14.5%,7.5%,24,12,2.0,13.4%,6.7%,10.1%,2.8%,0.9,17.0%,19.0%
2023 US Open R128,W vs Galan,36,23,1.6,18.7%,11.9%,31,20,1.6,18.3%,11.8%,12.4%,5.9%,1.0,17.6%,18.1%
2023 Washington F,W vs Griekspoor,26,9,2.9,21.7%,7.5%,20,8,2.5,20.4%,8.2%,13.3%,7.1%,0.9,18.3%,20.8%
2023 Wimbledon R128,L vs Halys,36,24,1.5,14.8%,9.8%,24,19,1.3,12.1%,9.5%,8.0%,3.5%,1.7,24.2%,13.9%
2023 Rome Masters R64,L vs Carballes Baena,51,49,1.0,20.5%,19.7%,41,43,1.0,17.8%,18.7%,9.1%,8.3%,1.3,14.5%,10.8%
2023 Barcelona SF,L vs Alcaraz,8,11,0.7,8.0%,11.0%,8,7,1.1,8.7%,7.6%,6.5%,2.2%,2.2,28.0%,13.0%
2022 Vienna QF,L vs Shapovalov,30,23,1.3,21.9%,16.8%,30,22,1.4,24.0%,17.6%,10.4%,4.0%,1.7,32.1%,19.0%
2022 Vienna R16,W vs Khachanov,26,9,2.9,26.0%,9.0%,25,7,3.6,26.9%,7.5%,15.1%,2.2%,0.7,22.0%,30.0%
2022 Davis Cup RR,W vs Griekspoor,25,10,2.5,19.4%,7.8%,22,9,2.4,18.8%,7.7%,10.3%,8.5%,1.4,23.3%,16.3%
2022 US Open R32,L vs Cilic,27,25,1.1,9.6%,8.9%,23,19,1.2,9.7%,8.0%,5.1%,3.0%,1.7,26.2%,15.6%
2022 US Open R64,W vs Duckworth,33,40,0.8,13.7%,16.6%,24,31,0.8,11.7%,15.1%,8.3%,2.9%,0.8,18.3%,24.1%
2022 US Open R128,W vs Vesely,44,8,5.5,31.7%,5.8%,33,7,4.7,30.8%,6.5%,24.3%,5.6%,0.9,18.0%,20.9%
2022 Cincinnati Masters R64,L vs Krajinovic,24,23,1.0,20.7%,19.8%,17,16,1.1,18.3%,17.2%,6.5%,2.2%,1.5,29.3%,19.0%
Career (86 matches),,2571,2213,1.2,15.5%,13.3%,2156,1879,1.1,14.6%,12.7%,7.8%,3.7%,1.1,19.6%,17.6%
