Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
11,Frances Tiafoe [USA],5,6,45.5%,5,4,1,80.0%,2015,2025,11,1.06,8.7%,3.5%,60.0%,75.0%,46.4%,63.6%,38.7%,55.7%,40.5%
10,Josh Goodall [GBR],4,6,40.0%,1,0,1,0.0%,2007,2013,0,,,,,,,,,,
10,Joshua Milton [GBR],9,1,90.0%,2,2,0,100.0%,2007,2012,0,,,,,,,,,,
9,Andrey Rublev [RUS],4,5,44.4%,2,1,1,50.0%,2016,2023,9,0.87,3.2%,3.1%,61.1%,66.9%,48.1%,59.6%,35.2%,65.4%,35.5%
9,Daniel Cox [GBR],7,2,77.8%,1,0,1,0.0%,2008,2015,1,1.27,2.6%,2.6%,59.2%,66.7%,54.8%,61.8%,48.6%,40.0%,83.3%
8,Edward Corrie [GBR],5,3,62.5%,3,2,1,66.7%,2011,2018,3,1.39,5.8%,4.2%,67.4%,81.3%,46.8%,70.0%,41.6%,75.0%,42.9%
7,Jeremy Chardy [FRA],4,3,57.1%,3,1,2,33.3%,2017,2023,7,1.10,9.1%,2.1%,67.0%,70.6%,56.9%,66.1%,37.5%,73.6%,43.5%
6,Karen Khachanov [RUS],5,1,83.3%,4,3,1,75.0%,2020,2025,6,1.07,5.1%,4.6%,57.9%,75.9%,48.3%,64.3%,38.2%,61.7%,43.8%
6,Taro Daniel [JPN],4,2,66.7%,2,2,0,100.0%,2013,2024,6,1.09,8.8%,4.6%,57.6%,67.4%,52.3%,61.0%,42.6%,54.1%,44.4%
6,Denis Shapovalov [CAN],3,3,50.0%,1,1,0,100.0%,2016,2024,6,0.90,3.3%,3.3%,63.7%,75.4%,47.3%,65.2%,31.2%,62.9%,32.1%
6,Alexander Bublik [KAZ],1,5,16.7%,0,0,0,-,2019,2024,6,0.96,2.6%,4.2%,61.0%,66.2%,52.2%,60.7%,37.8%,57.4%,32.5%
6,Grigor Dimitrov [BUL],3,3,50.0%,3,2,1,66.7%,2011,2023,6,1.05,3.6%,3.2%,59.4%,72.4%,53.9%,64.9%,36.9%,54.5%,40.5%
6,Yoshihito Nishioka [JPN],0,6,0.0%,4,1,3,25.0%,2016,2022,6,0.88,7.2%,4.8%,58.4%,69.7%,42.5%,58.4%,36.6%,53.4%,40.0%
6,Neil Pauffley [GBR],5,1,83.3%,1,1,0,100.0%,2009,2018,1,1.13,5.6%,4.2%,62.5%,71.1%,59.3%,66.7%,37.7%,0.0%,50.0%
6,Sam Barry [IRL],5,1,83.3%,0,0,0,-,2011,2018,2,1.59,6.9%,3.4%,60.3%,81.4%,56.5%,71.6%,45.1%,90.0%,43.8%
