Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2019 Bastad R32,L vs Londero,80% (4/5),100% (1/1),0/0,0/0,33% (2/6),2/4,0/1,- (0/0),- (0/0)
2019 Francavilla Al Mare CH R32,L vs Bellucci,57% (8/14),0% (0/8),0/0,0/0,80% (8/10),4/6,3/4,50% (3/6),20% (1/5)
2019 Tunis CH QF,L vs Giustino,54% (7/13),35% (6/17),1/1,0/0,54% (7/13),4/6,1/2,- (0/0),- (0/0)
2019 Tunis CH R32,W vs Brkic,62% (8/13),57% (4/7),2/5,1/3,71% (5/7),0/0,0/0,- (0/0),- (0/0)
2019 Murcia CH R32,L vs Vilella Martinez,100% (4/4),100% (1/1),0/0,0/0,20% (1/5),0/2,0/1,- (0/0),- (0/0)
2019 Villena CH R64,L vs Gimeno Traver,69% (9/13),75% (3/4),1/2,0/0,38% (3/8),2/4,1/2,- (0/0),- (0/0)
2019 Santiago CH R16,L vs Giannessi,33% (6/18),45% (5/11),1/1,0/0,59% (10/17),1/3,0/1,- (0/0),- (0/0)
2019 Santiago CH R32,W vs Souza,65% (13/20),43% (3/7),2/5,1/2,83% (10/12),2/3,0/0,- (0/0),- (0/0)
2019 Sao Paulo Q1,L vs Coria,75% (3/4),40% (2/5),0/0,0/0,38% (3/8),2/4,1/2,- (0/0),- (0/0)
2019 Cordoba Q1,L vs Lorenzi,61% (11/18),67% (2/3),1/4,0/0,25% (1/4),5/7,1/2,- (0/0),- (0/0)
2019 Punta Del Este CH F,L vs Monteiro,63% (10/16),50% (1/2),1/3,0/0,40% (2/5),1/3,1/2,- (0/0),- (0/0)
2019 Punta Del Este CH SF,W vs Bagnis,100% (8/8),40% (4/10),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2019 Punta Del Este CH QF,W vs Londero,69% (9/13),35% (6/17),2/6,1/3,62% (8/13),2/3,0/0,100% (4/4),60% (3/5)
2019 Punta Del Este CH R16,W vs Dutra Silva,71% (10/14),29% (2/7),2/3,1/2,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2019 Punta Del Este CH R32,W vs Tabilo,75% (9/12),75% (3/4),2/2,1/1,50% (1/2),0/0,0/0,60% (3/5),80% (4/5)
2018 Buenos Aires CH R16,W vs Dellien,82% (9/11),43% (3/7),2/4,1/1,83% (5/6),0/0,0/0,- (0/0),- (0/0)
2018 Buenos Aires CH R32,W vs Olivo,80% (8/10),80% (4/5),2/3,1/1,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2018 Montevideo CH QF,L vs Berlocq,85% (11/13),38% (3/8),1/1,0/0,33% (2/6),3/5,3/4,- (0/0),- (0/0)
2018 Montevideo CH R16,W vs Andujar,47% (7/15),50% (6/12),2/4,1/3,50% (5/10),2/2,0/0,60% (3/5),67% (4/6)
2018 Guayaquil CH QF,L vs Sousa,46% (6/13),25% (3/12),0/0,0/0,56% (5/9),5/7,3/4,57% (4/7),29% (2/7)
2019 (15 matches),,64.3%,41.3%,50.0%,50.0%,56.3%,55.6%,47.1%,66.7%,53.3%
2018 (16 matches),,62.7%,37.1%,43.6%,50.0%,50.9%,57.4%,60.0%,63.8%,33.3%
2017 (8 matches),,58.7%,40.9%,55.6%,50.0%,61.4%,42.9%,53.8%,60.0%,16.7%
2016 (13 matches),,62.2%,34.9%,44.4%,25.0%,57.4%,44.4%,45.5%,45.0%,52.6%
2015 (9 matches),,54.1%,44.6%,56.3%,57.1%,47.7%,29.4%,28.6%,-,-
Career (114 matches),,60.3%,41.4%,50.5%,53.2%,54.9%,46.9%,45.5%,62.9%,41.4%
