Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2019 Metz R16,L vs Basilashvili,0.0%,-,2.2%,66.7%,12.9%,33.3%,50.0%,1.3%,14.3%,0.5%,100.0%,-129,-92
2019 Sofia R16,L vs Fucsovics,0.0%,-,7.3%,64.7%,10.4%,15.5%,0.0%,7.4%,37.0%,0.4%,0.0%,-48,-50
2017 Alphen Aan Den Rijn CH R32,W vs Maamoun,0.0%,-,6.5%,83.3%,5.6%,15.8%,0.0%,6.9%,35.3%,1.7%,50.0%,-130,-126
Career (3 matches),,0.0%,-,5.6%,69.2%,9.9%,18.0%,16.7%,5.9%,33.3%,0.8%,42.9%,-87,-78
