Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2023-02-20),1474,2,,,,,,,,,,,,
2022,1487,2,,,,,,,,,,,,
2021,307,172,330,1380,308,1360,284,1384,223,1403,,,,
2020,173,378,213,1488,206,1454,175,1493,,,601,63,,
2019,126,429,161,1599,145,1568,114,1594,139,1520,,,,
2018,126,460,139,1629,137,1586,127,1579,92,1584,383,75,,
2017,147,380,121,1656,123,1606,126,1586,136,1511,1241,15,,
2016,272,189,,,,,,,,,,,,
2015,654,45,,,,,,,,,1482,10,,
2014,447,88,,,,,,,,,707,60,,
2013,704,31,,,,,,,,,889,34,,
2007,1479,1,,,,,,,,,,,,
