Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2023 US Open Q1,L vs Atmane,3.0%,100.0%,7.3%,92.9%,15.2%,13.3%,25.0%,14.0%,0.0%,2.7%,80.0%,80,85
2019 Budapest R32,L vs Sinner,0.0%,-,4.7%,71.4%,8.0%,13.0%,0.0%,5.4%,23.8%,0.6%,0.0%,-63,-41
Career (2 matches),,1.7%,100.0%,6.1%,85.7%,10.4%,13.0%,12.5%,7.7%,21.7%,1.3%,57.1%,-11,14
