Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2023 US Open Q1,L vs Atmane,52% (11/21),- (0/0),1/1,0/0,67% (6/9),2/4,2/3,57% (4/7),57% (4/7)
2019 Rome CH R32,W vs Balazs,67% (8/12),31% (4/13),2/2,1/1,60% (3/5),0/0,0/0,- (0/0),- (0/0)
2019 Rome CH R64,W vs Ocleppo,80% (8/10),40% (4/10),2/3,1/2,100% (7/7),0/0,0/0,- (0/0),- (0/0)
2019 Ostrava CH R64,L vs Dima,54% (7/13),43% (6/14),1/2,0/1,68% (15/22),2/4,1/2,20% (1/5),50% (3/6)
2019 Budapest R32,L vs Sinner,46% (6/13),75% (6/8),1/3,0/0,60% (9/15),1/3,1/2,- (0/0),- (0/0)
2019 Sophia Antipolis CH Q1,W vs Tsitsipas,89% (8/9),50% (4/8),2/5,1/3,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2019 M15 Opatija F,W vs Fatic,58% (7/12),28% (5/18),2/5,1/3,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2019 M15 Opatija SF,W vs Razborsek,58% (7/12),63% (5/8),2/3,1/2,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2019 M15 Opatija QF,W vs Vanneste,60% (6/10),64% (7/11),2/3,1/1,60% (6/10),0/0,0/0,- (0/0),- (0/0)
2019 M15 Opatija R16,W vs Pietri,73% (8/11),50% (5/10),2/3,1/2,50% (2/4),0/0,0/0,- (0/0),- (0/0)
2019 M15 Opatija R32,W vs Nagy,70% (7/10),56% (5/9),2/2,1/1,83% (5/6),0/0,0/0,- (0/0),- (0/0)
2019 M15 Porec R32,L vs Celebic,57% (4/7),67% (2/3),0/0,0/0,38% (3/8),1/3,0/1,- (0/0),- (0/0)
2018 Shenzhen CH R16,W vs Fabbiano,67% (10/15),50% (3/6),2/4,1/1,0% (0/2),0/0,0/0,50% (3/6),67% (4/6)
2018 Monterrey CH R32,L vs Escobedo,21% (3/14),0% (0/1),0/0,0/0,50% (5/10),0/2,0/1,- (0/0),- (0/0)
2018 Davis Cup RR,L vs Rosol,78% (7/9),0% (0/6),0/0,0/0,58% (7/12),3/6,2/3,- (0/0),- (0/0)
2018 Cordenons CH F,L vs Lorenzi,75% (9/12),80% (4/5),1/1,0/0,55% (6/11),0/2,0/1,- (0/0),- (0/0)
2018 Budapest Q1,L vs Cecchinato,67% (4/6),40% (2/5),0/2,0/0,17% (1/6),1/3,1/2,- (0/0),- (0/0)
2017 Budapest CH R32,L vs Gombos,50% (3/6),43% (3/7),0/0,0/0,25% (2/8),1/3,1/2,- (0/0),- (0/0)
2023 (1 matches),,52.4%,-,100.0%,-,66.7%,50.0%,66.7%,57.1%,57.1%
2019 (11 matches),,63.9%,47.3%,58.1%,50.0%,65.9%,40.0%,40.0%,20.0%,50.0%
2018 (5 matches),,58.9%,39.1%,42.9%,100.0%,46.3%,30.8%,42.9%,50.0%,66.7%
2017 (1 matches),,50.0%,42.9%,-,-,25.0%,33.3%,50.0%,-,-
Career (18 matches),,60.9%,45.8%,56.4%,52.9%,57.9%,36.7%,47.1%,44.4%,57.9%
