Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2023 US Open Q1,L vs Atmane,0% (0/15),- (0/0),0/3,43% (6/14),50% (3/6),0/0,0/0,1/1,0/0,1/1
2019 Rome CH R32,W vs Balazs,67% (6/9),67% (4/6),1/2,20% (2/10),0% (0/2),2/3,1/1,0/0,1/1,0/0
2019 Rome CH R64,W vs Ocleppo,75% (6/8),67% (4/6),0/0,50% (4/8),100% (4/4),4/4,2/2,0/0,1/1,0/0
2019 Ostrava CH R64,L vs Dima,50% (7/14),86% (6/7),2/6,79% (11/14),36% (4/11),2/5,0/1,0/1,0/1,0/0
2019 Budapest R32,L vs Sinner,58% (7/12),86% (6/7),1/4,67% (8/12),25% (2/8),3/6,1/1,1/3,0/0,0/1
2019 Sophia Antipolis CH Q1,W vs Tsitsipas,44% (4/9),100% (4/4),0/0,13% (1/8),100% (1/1),3/3,1/1,0/0,0/0,0/0
2019 M15 Opatija F,W vs Fatic,78% (7/9),71% (5/7),0/1,13% (1/8),0% (0/1),3/4,1/1,0/0,0/0,0/0
2019 M15 Opatija SF,W vs Razborsek,71% (5/7),100% (5/5),0/0,14% (1/7),100% (1/1),4/4,1/1,0/0,1/1,0/0
2019 M15 Opatija QF,W vs Vanneste,70% (7/10),100% (7/7),4/4,50% (5/10),20% (1/5),4/7,2/3,0/0,1/1,0/0
2019 M15 Opatija R16,W vs Pietri,60% (6/10),83% (5/6),2/2,20% (2/10),0% (0/2),4/5,2/3,0/0,1/2,0/0
2019 M15 Opatija R32,W vs Nagy,67% (6/9),83% (5/6),1/1,38% (3/8),67% (2/3),4/4,1/1,0/0,0/0,0/0
2019 M15 Porec R32,L vs Celebic,20% (2/10),100% (2/2),1/4,56% (5/9),0% (0/5),1/2,0/0,2/3,0/0,1/1
2018 Shenzhen CH R16,W vs Fabbiano,33% (4/12),75% (3/4),2/2,17% (2/12),0% (0/2),2/3,1/2,0/0,1/2,0/0
2018 Monterrey CH R32,L vs Escobedo,14% (1/7),0% (0/1),0/4,75% (6/8),17% (1/6),0/0,0/0,0/1,0/0,0/1
2018 Davis Cup RR,L vs Rosol,23% (3/13),0% (0/3),0/5,42% (5/12),0% (0/5),0/0,0/0,1/1,0/0,1/1
2018 Cordenons CH F,L vs Lorenzi,29% (4/14),100% (4/4),1/4,50% (7/14),29% (2/7),3/4,1/1,0/1,0/0,0/1
2018 Budapest Q1,L vs Cecchinato,20% (2/10),100% (2/2),0/4,56% (5/9),0% (0/5),1/2,0/2,0/1,0/0,0/0
2017 Budapest CH R32,L vs Gombos,44% (4/9),75% (3/4),2/6,67% (6/9),0% (0/6),1/3,0/0,1/1,0/0,0/0
2023 (1 matches),,0.0%,-,0.0%,42.9%,50.0%,-,-,100.0%,-,100.0%
2019 (11 matches),,58.9%,84.1%,50.0%,41.3%,34.9%,72.3%,80.0%,42.9%,71.4%,50.0%
2018 (5 matches),,25.0%,64.3%,15.8%,45.5%,12.0%,66.7%,40.0%,25.0%,50.0%,33.3%
2017 (1 matches),,44.4%,75.0%,33.3%,66.7%,0.0%,33.3%,-,100.0%,-,-
Career (18 matches),,43.3%,80.2%,32.7%,44.0%,26.3%,69.5%,70.0%,46.2%,66.7%,50.0%
