Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,32,19,13,59.4%,43-33,56.6%,354-316,52.8%,0-2,0.0%,31,60.8%,47.3%,1.3%,5.0%,60.5%,60.1%,45.4%,54.3%,48.7%,51.5%,1.06,W (W35 Hamamatsu)
2024,26,17,9,65.4%,35-25,58.3%,303-254,54.4%,5-5,50.0%,0,,,,,,,,,,,,W (W35 Kyoto)
2023,27,9,18,33.3%,22-37,37.3%,236-305,43.6%,5-3,62.5%,0,,,,,,,,,,,,QF (2x)
2022,47,26,21,55.3%,58-47,55.2%,516-449,53.5%,3-6,33.3%,0,,,,,,,,,,,,F (W25 Nanao)
2021,21,11,10,52.4%,23-22,51.1%,208-191,52.1%,0-1,0.0%,0,,,,,,,,,,,,F (W15 Sharm El Sheikh)
2020,6,2,4,33.3%,5-8,38.5%,47-63,42.7%,0-1,0.0%,0,,,,,,,,,,,,R16 (2x)
2019,51,27,24,52.9%,58-59,49.6%,535-549,49.4%,7-4,63.6%,1,54.5%,27.3%,1.4%,6.8%,62.2%,60.9%,42.9%,54.1%,38.8%,46.8%,0.84,F (W25 Karuizawa)
2018,37,23,14,62.2%,53-37,58.9%,436-388,52.9%,3-4,42.9%,0,,,,,,,,,,,,W (2x)
2017,38,20,18,52.6%,42-44,48.8%,389-403,49.1%,4-4,50.0%,0,,,,,,,,,,,,F (Makinohara $25K)
2016,12,7,5,58.3%,12-13,48.0%,104-116,47.3%,2-1,66.7%,0,,,,,,,,,,,,SF (2x)
2015,7,2,5,28.6%,4-11,26.7%,50-72,41.0%,0-1,0.0%,0,,,,,,,,,,,,R16 (2x)
Career,304,163,141,53.6%,355-336,51.4%,3178-3106,50.6%,29-32,47.5%,32,60.6%,46.6%,1.3%,5.0%,60.6%,60.1%,45.3%,54.3%,48.4%,51.3%,1.06,
