Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,9,4,5,44.4%,9-12,42.9%,94-107,46.8%,2-3,40.0%,9,73.5%,20.4%,6.4%,3.7%,59.6%,70.1%,49.6%,61.8%,37.4%,49.5%,0.98
Clay,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,62.5%,0.0%,2.2%,2.2%,77.8%,57.1%,60.0%,57.8%,29.8%,42.2%,0.71
Grass,5,2,3,40.0%,6-6,50.0%,57-62,47.9%,2-1,66.7%,5,76.2%,18.3%,6.8%,4.5%,60.5%,70.7%,45.6%,60.8%,34.7%,48.2%,0.88
Grand Slams,4,1,3,25.0%,4-6,40.0%,39-54,41.9%,2-1,66.7%,4,66.0%,17.0%,5.2%,2.6%,61.3%,64.2%,43.3%,56.1%,35.8%,46.0%,0.82
Masters,2,0,2,0.0%,0-4,0.0%,8-24,25.0%,0-0,-,2,31.3%,18.8%,5.9%,4.9%,50.0%,62.7%,21.6%,42.2%,29.8%,36.6%,0.51
Other Tours,9,5,4,55.6%,11-10,52.4%,109-103,51.4%,2-3,40.0%,9,84.5%,19.2%,6.9%,4.4%,62.1%,73.0%,56.2%,66.6%,36.9%,51.6%,1.11
Best of 5,4,1,3,25.0%,4-6,40.0%,39-54,41.9%,2-1,66.7%,4,66.0%,17.0%,5.2%,2.6%,61.3%,64.2%,43.3%,56.1%,35.8%,46.0%,0.82
Best of 3,11,5,6,45.5%,11-14,44.0%,117-127,48.0%,2-3,40.0%,11,77.3%,19.2%,6.8%,4.5%,60.5%,71.9%,50.3%,63.4%,36.1%,49.8%,0.99
Semi-finals,1,0,1,0.0%,0-2,0.0%,10-13,43.5%,0-1,0.0%,1,81.8%,9.1%,7.1%,5.7%,65.7%,63.0%,54.2%,60.0%,35.7%,47.9%,0.89
Quarter-finals,1,1,0,100.0%,2-0,100.0%,13-10,56.5%,1-0,100.0%,1,90.9%,18.2%,2.9%,5.8%,68.1%,83.0%,54.5%,73.9%,37.3%,53.9%,1.43
vs Righties,12,4,8,33.3%,11-16,40.7%,116-145,44.4%,4-3,57.1%,12,70.5%,17.8%,7.1%,4.2%,60.3%,69.3%,45.8%,60.0%,35.4%,47.7%,0.88
vs Lefties,3,2,1,66.7%,4-4,50.0%,40-36,52.6%,0-1,0.0%,3,86.5%,21.1%,3.7%,2.9%,62.0%,70.7%,57.6%,65.7%,38.4%,52.3%,1.12
