Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2024,,,,,,,,,,,110,795,,
2023,527,74,272,1472,270,1422,235,1454,,,,,,
2022,345,141,170,1598,196,1502,155,1562,75,1606,,,,
2021,256,240,247,1489,228,1446,,,160,1498,,,,
2020,786,22,,,,,,,,,,,,
2019,664,30,256,1483,277,1416,,,,,882,30,,
2018,241,200,182,1548,220,1461,168,1515,111,1545,229,250,,
2017,247,209,229,1504,206,1478,255,1400,,,542,90,,
2016,486,79,,,,,,,,,,,,
2015,,,,,,,,,,,855,45,,
2013,438,88,291,1419,279,1376,307,1333,214,1388,731,56,,
2012,502,67,382,1246,367,1226,,,264,1289,174,375,,
2011,939,9,,,,,,,,,927,29,,
