Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2023,22,8,14,36.4%,18-31,36.7%,223-252,46.9%,2-5,28.6%,22,68.6%,26.7%,5.6%,4.2%,61.1%,66.1%,48.3%,59.2%,39.6%,49.5%,0.97,QF (2x)
2022,20,12,8,60.0%,26-18,59.1%,222-190,53.9%,1-4,20.0%,20,75.0%,33.5%,5.7%,4.5%,60.4%,67.7%,49.2%,60.4%,41.8%,51.4%,1.05,F (Savannah)
2021,21,11,10,52.4%,25-22,53.2%,236-224,51.3%,3-5,37.5%,21,75.7%,28.4%,8.3%,2.8%,62.9%,67.3%,52.0%,61.6%,40.0%,50.7%,1.04,SF (Orlando 1)
2020,3,0,3,0.0%,1-6,14.3%,34-43,44.2%,0-1,0.0%,3,76.3%,13.2%,6.5%,3.4%,65.1%,68.2%,55.6%,63.8%,33.2%,48.5%,0.92,R32 (3x)
2019,10,4,6,40.0%,11-15,42.3%,130-138,48.5%,2-5,28.6%,10,75.2%,23.5%,7.5%,6.5%,58.9%,71.8%,47.1%,61.7%,38.7%,49.7%,1.01,R16 (Cuernavaca)
2018,25,12,13,48.0%,28-31,47.5%,272-287,48.7%,5-4,55.6%,25,73.7%,23.6%,6.5%,2.6%,62.0%,67.9%,50.2%,61.2%,39.1%,49.8%,1.01,F (Savannah)
2017,20,10,10,50.0%,22-23,48.9%,208-220,48.6%,2-3,40.0%,19,71.8%,26.2%,5.9%,3.6%,61.3%,66.2%,49.6%,59.8%,39.4%,49.5%,0.98,SF (Binghamton)
2016,2,1,1,50.0%,2-2,50.0%,19-19,50.0%,0-0,-,2,73.7%,26.3%,12.7%,0.0%,50.8%,70.0%,53.4%,61.9%,37.6%,50.2%,0.99,R16 (Columbus)
2013,5,2,3,40.0%,6-7,46.2%,57-61,48.3%,1-0,100.0%,5,69.0%,27.1%,3.7%,6.6%,57.1%,68.7%,44.8%,58.4%,40.9%,49.5%,0.98,R16 (2x)
2012,9,4,5,44.4%,9-14,39.1%,106-117,47.5%,2-1,66.7%,9,68.2%,26.4%,5.1%,2.9%,62.8%,64.9%,47.7%,58.5%,39.2%,49.4%,0.94,SF (Lexington)
Career,137,64,73,46.7%,148-169,46.7%,1507-1551,49.3%,18-28,39.1%,136,72.7%,26.6%,6.4%,3.8%,61.2%,67.4%,49.4%,60.4%,39.6%,50.0%,1.00,
