Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2021 BJK Cup Finals RR,L vs Kuzmova,3.5,4.4,2.6,43.4%,40.0%,75.0%,25.0%,54.5%,22.5%,1.0,0.9,-1.0,-1.3
2021 US Open R128,L vs Collins,2.3,2.4,2.1,40.5%,35.7%,33.3%,0.0%,52.9%,46.9%,-5.0,-16.1,-3.0,-18.8
2021 Olympics R32,L vs Pliskova,3.3,3.6,3.0,48.8%,37.8%,47.6%,25.0%,53.1%,21.5%,2.0,1.7,0.5,0.5
2021 Olympics R64,W vs Jabeur,3.3,3.7,2.8,60.0%,56.5%,64.3%,0.0%,50.8%,22.2%,7.0,12.5,5.5,11.2
2021 Wimbledon R128,L vs Barty,4.3,5.6,3.1,39.8%,35.9%,63.6%,33.3%,47.0%,43.6%,9.0,8.7,2.5,3.0
2021 Roland Garros R128,L vs Stephens,4.3,4.8,3.9,49.1%,55.8%,43.5%,50.0%,52.2%,12.5%,20.0,10.6,4.5,2.8
2020 Doha R32,L vs Kvitova,2.7,2.9,2.5,44.5%,33.3%,71.4%,-,57.0%,12.3%,-10.5,-13.3,0.5,0.9
2020 Doha R64,W vs Zhang,4.4,4.4,4.3,61.1%,48.4%,52.6%,66.7%,55.5%,10.8%,14.0,12.5,4.5,5.6
2020 Australian Open R64,L vs Swiatek,4.0,4.3,3.8,41.7%,57.1%,41.7%,36.4%,54.3%,27.5%,0.0,0.0,0.0,0.0
2020 Australian Open R128,W vs Sabalenka,3.3,3.8,2.8,48.4%,54.9%,70.6%,14.3%,50.4%,16.7%,4.5,3.7,2.5,2.4
2019 San Jose QF,L vs Sabalenka,3.1,3.4,2.7,45.8%,50.0%,50.0%,100.0%,56.5%,29.9%,15.5,14.4,-1.5,-2.5
2019 Wimbledon R16,L vs Williams,3.8,4.3,3.0,45.2%,39.1%,38.5%,20.0%,55.3%,32.8%,1.5,2.1,-6.0,-13.3
2019 Wimbledon R32,W vs Davis,4.1,4.2,4.0,66.1%,51.6%,38.5%,50.0%,45.9%,18.4%,5.0,6.4,0.0,0.0
2019 Roland Garros R32,L vs Vondrousova,5.3,5.0,5.6,41.4%,47.4%,52.4%,50.0%,52.0%,10.1%,11.5,7.1,-3.5,-2.5
2019 Rome R16,L vs Bertens,4.7,5.3,3.9,48.7%,48.4%,45.5%,70.6%,55.5%,14.3%,19.0,12.1,-1.0,-0.9
2019 Madrid R64,W vs Sakkari,4.6,4.6,4.6,64.7%,48.5%,57.9%,60.0%,59.3%,4.3%,15.0,11.2,0.5,0.6
2019 Lugano R32,L vs Hercog,4.7,5.1,4.4,43.0%,54.0%,50.0%,41.7%,46.2%,7.4%,15.5,9.3,-14.0,-7.5
2019 Dubai QF,L vs Svitolina,5.4,6.3,4.7,36.7%,41.9%,29.4%,61.1%,47.1%,21.1%,5.5,4.4,-10.0,-8.7
2019 Dubai R16,W vs Mladenovic,4.3,4.6,3.9,47.0%,57.1%,46.2%,66.7%,54.3%,12.9%,11.0,7.1,8.5,7.1
2019 Doha R16,L vs Bertens,4.1,4.1,4.0,48.6%,32.5%,62.5%,44.4%,56.6%,24.5%,2.0,1.6,-7.5,-10.4
Career (70 matches),,4.6,4.7,4.4,47.4%,47.4%,50.1%,48.6%,52.1%,21.5%,6.8,4.9,0.0,0.0
