Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,348,188,160,54.0%,410-373,52.4%,3628-3579,50.3%,42-30,58.3%,302,65.9%,37.4%,1.4%,3.1%,66.9%,60.5%,45.6%,55.6%,44.4%,50.0%,1.00
Clay,211,140,71,66.4%,302-170,64.0%,2394-1953,55.1%,20-14,58.8%,182,66.4%,43.3%,1.1%,2.4%,68.5%,60.0%,47.3%,56.0%,48.4%,52.2%,1.10
Grass,52,27,25,51.9%,60-61,49.6%,562-575,49.4%,5-6,45.5%,51,67.1%,32.9%,1.9%,3.0%,67.4%,61.9%,46.6%,56.9%,41.9%,49.6%,0.97
Carpet,10,4,6,40.0%,10-12,45.5%,98-107,47.8%,1-0,100.0%,6,-,-,1.1%,3.5%,72.8%,60.5%,35.5%,53.7%,44.3%,48.8%,0.96
Grand Slams,134,86,48,64.2%,181-128,58.6%,1490-1351,52.4%,12-11,52.2%,117,70.2%,37.8%,1.6%,2.7%,66.9%,61.9%,48.2%,57.4%,44.8%,51.1%,1.05
Premiers,197,101,96,51.3%,224-219,50.6%,2027-2074,49.4%,24-13,64.9%,180,63.4%,37.6%,1.6%,2.8%,67.1%,59.9%,44.6%,54.9%,44.2%,49.4%,0.98
Internationals,171,103,68,60.2%,225-148,60.3%,1852-1567,54.2%,15-17,46.9%,150,68.9%,41.1%,1.1%,3.4%,67.8%,60.4%,45.8%,55.7%,48.1%,51.9%,1.09
Finals,11,2,9,18.2%,8-18,30.8%,97-141,40.8%,0-1,0.0%,9,55.8%,18.2%,1.2%,2.3%,70.2%,54.1%,43.2%,50.9%,40.8%,45.8%,0.83
Semi-finals,28,11,17,39.3%,25-37,40.3%,261-293,47.1%,1-5,16.7%,23,60.4%,38.2%,0.8%,3.1%,69.9%,57.8%,43.6%,53.5%,45.2%,49.5%,0.97
Quarter-finals,68,27,41,39.7%,67-87,43.5%,651-731,47.1%,6-4,60.0%,59,59.0%,30.6%,1.1%,3.0%,67.9%,58.3%,43.2%,53.5%,43.8%,48.5%,0.94
vs Righties,563,324,239,57.5%,708-556,56.0%,6053-5621,51.9%,65-46,58.6%,488,66.3%,39.2%,1.3%,2.9%,67.5%,60.3%,45.9%,55.6%,45.8%,50.7%,1.03
vs Lefties,55,33,22,60.0%,70-58,54.7%,600-569,51.3%,3-4,42.9%,50,64.6%,31.6%,1.5%,3.2%,67.9%,62.4%,47.9%,57.8%,43.3%,50.4%,1.02
vs Top 10,98,29,69,29.6%,78-154,33.6%,895-1223,42.3%,10-7,58.8%,89,57.9%,30.0%,1.3%,2.8%,67.2%,57.8%,42.8%,52.9%,41.2%,47.0%,0.87
