Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2021 BJK Cup Finals RR,L vs Kuzmova,22.0%,30.5%,46.9%,21.4%,32.1%,59.1%,20.0%,15.4%,25.0%,23.1%,26.9%,20.0%,0.0%,33.3%,25.0%,-104
2021 US Open R128,L vs Collins,32.2%,37.3%,38.9%,27.5%,35.0%,37.9%,36.4%,33.3%,20.0%,53.3%,53.3%,42.9%,0.0%,44.4%,50.0%,150
2021 Olympics R32,L vs Pliskova,25.3%,33.3%,47.1%,23.4%,34.4%,42.9%,11.5%,15.8%,44.4%,32.3%,35.5%,57.1%,0.0%,33.3%,50.0%,34
2021 Olympics R64,W vs Jabeur,23.5%,35.3%,60.5%,23.7%,36.8%,62.1%,35.3%,23.8%,-,25.0%,33.3%,55.6%,0.0%,25.0%,-,-11
2021 Wimbledon R128,L vs Barty,8.0%,14.7%,52.2%,6.3%,14.6%,44.4%,43.5%,32.0%,50.0%,11.1%,14.8%,66.7%,0.0%,50.0%,-,-104
2021 Roland Garros R128,L vs Stephens,19.8%,23.8%,48.1%,25.0%,30.4%,50.0%,16.0%,29.0%,33.3%,14.6%,17.1%,45.7%,0.0%,50.0%,75.0%,3
2020 Doha R32,L vs Kvitova,31.3%,37.3%,33.9%,34.5%,40.0%,38.9%,25.9%,32.1%,0.0%,25.9%,33.3%,25.0%,16.7%,33.3%,66.7%,-61
2020 Doha R64,W vs Zhang,16.7%,26.7%,46.0%,20.0%,31.1%,47.2%,50.0%,9.5%,33.3%,6.7%,13.3%,42.9%,20.0%,50.0%,100.0%,-104
2020 Australian Open R64,L vs Swiatek,18.8%,21.9%,44.2%,17.8%,22.2%,51.4%,34.6%,21.1%,0.0%,21.1%,21.1%,26.7%,0.0%,73.3%,100.0%,-104
2020 Australian Open R128,W vs Sabalenka,26.5%,28.4%,38.9%,31.7%,34.9%,53.5%,31.0%,38.2%,71.4%,19.4%,19.4%,17.2%,7.1%,36.4%,25.0%,-11
2019 San Jose QF,L vs Sabalenka,18.5%,24.7%,40.6%,16.7%,25.0%,42.5%,47.8%,28.0%,50.0%,22.6%,25.8%,37.5%,6.3%,53.3%,100.0%,-31
2019 Wimbledon R16,L vs Williams,18.6%,27.1%,37.0%,19.4%,30.6%,44.8%,26.3%,17.6%,25.0%,19.0%,23.8%,23.5%,0.0%,41.7%,100.0%,1
2019 Wimbledon R32,W vs Davis,15.8%,26.3%,48.9%,17.9%,33.3%,46.9%,82.4%,22.7%,0.0%,11.8%,11.8%,53.3%,25.0%,22.2%,0.0%,-37
2019 Roland Garros R32,L vs Vondrousova,9.9%,15.5%,46.8%,11.8%,19.6%,46.7%,34.8%,14.3%,0.0%,5.6%,5.6%,47.1%,0.0%,10.0%,0.0%,-61
2019 Rome R16,L vs Bertens,10.1%,24.1%,54.3%,12.1%,25.9%,58.8%,76.9%,65.6%,66.7%,5.0%,20.0%,42.1%,20.0%,60.0%,100.0%,-64
2019 Madrid R64,W vs Sakkari,20.3%,25.4%,44.7%,25.6%,30.8%,41.4%,29.4%,22.7%,66.7%,10.0%,15.0%,50.0%,0.0%,88.9%,100.0%,-104
2019 Lugano R32,L vs Hercog,16.1%,22.6%,47.4%,16.9%,25.4%,55.1%,30.8%,63.6%,60.0%,14.7%,17.6%,34.5%,11.1%,56.3%,100.0%,-104
2019 Dubai QF,L vs Svitolina,5.4%,10.7%,43.1%,2.9%,11.4%,50.0%,35.0%,26.7%,25.0%,10.5%,10.5%,29.4%,0.0%,63.6%,100.0%,-9
2019 Dubai R16,W vs Mladenovic,17.6%,21.2%,45.5%,23.5%,29.4%,53.8%,13.0%,35.7%,66.7%,10.0%,10.0%,33.3%,6.7%,66.7%,66.7%,-17
2019 Doha R16,L vs Bertens,20.6%,23.5%,44.2%,22.5%,27.5%,58.1%,35.0%,45.0%,40.0%,19.2%,19.2%,23.8%,7.7%,61.5%,50.0%,-18
Career (70 matches),,17.7%,24.1%,45.7%,19.0%,27.5%,49.5%,39.8%,24.1%,25.2%,16.7%,19.2%,37.3%,10.3%,40.0%,51.6%,-3
