Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2023 Rio de Janeiro R32,L vs Baez,23.9%,33.8%,41.2%,29.2%,23.7%,36.8%,41.4%,33.4%,37.5%,63.6%,75.0%,26.7%,33.3%,40.9%,59
2017 Houston F,L vs Johnson,29.9%,41.2%,50.8%,34.9%,44.6%,53.6%,45.2%,53.4%,42.9%,60.0%,-,10.5%,26.3%,55.9%,-11
2016 Quito SF,W vs Lorenzi,33.8%,49.4%,61.4%,40.4%,40.0%,60.0%,48.1%,51.3%,70.8%,42.9%,50.0%,32.0%,44.0%,82.4%,166
2015 Paris R32,L vs Djokovic,15.2%,34.8%,50.0%,25.5%,18.4%,44.7%,61.3%,36.3%,35.3%,66.7%,100.0%,11.5%,23.1%,34.8%,0
2015 Paris R64,W vs Gabashvili,33.8%,38.2%,50.0%,37.1%,48.3%,55.2%,46.7%,55.9%,37.5%,69.2%,100.0%,26.5%,29.4%,52.0%,115
2015 Shanghai R64,L vs Raonic,27.9%,42.6%,64.4%,35.4%,40.0%,62.5%,75.0%,52.8%,31.6%,52.4%,100.0%,12.5%,16.7%,52.4%,-79
2015 Winston Salem QF,L vs Jaziri,25.5%,34.5%,44.7%,31.3%,39.4%,51.5%,50.0%,49.1%,11.1%,60.0%,60.0%,5.3%,10.5%,38.9%,-68
2015 Canada R32,L vs Djokovic,28.0%,32.9%,45.8%,30.5%,34.5%,41.4%,42.1%,37.9%,25.0%,61.8%,0.0%,12.5%,12.5%,52.4%,-79
2015 Gstaad QF,W vs Andujar,34.9%,47.0%,49.0%,41.9%,40.4%,54.4%,50.0%,50.5%,46.4%,55.2%,33.3%,28.6%,38.1%,46.7%,136
2015 Bastad QF,L vs Zverev,15.4%,25.3%,44.6%,21.9%,19.6%,34.8%,43.2%,32.4%,44.4%,78.9%,33.3%,11.9%,16.7%,45.9%,4
2015 Geneva F,W vs Sousa,26.1%,37.7%,54.3%,32.3%,34.9%,46.5%,46.4%,44.9%,41.2%,46.2%,100.0%,14.3%,28.6%,66.7%,9
2015 Geneva QF,W vs Ramos,15.0%,31.3%,50.0%,20.0%,18.9%,34.0%,48.8%,26.4%,55.6%,65.4%,55.6%,8.7%,30.4%,52.4%,-37
2015 Geneva R32,W vs Baghdatis,41.3%,50.0%,48.9%,42.9%,52.5%,57.6%,42.9%,55.1%,50.0%,51.5%,100.0%,26.9%,46.2%,57.9%,115
2015 Istanbul R16,W vs Istomin,30.3%,54.5%,71.7%,41.4%,43.9%,70.7%,78.3%,61.7%,66.7%,47.8%,100.0%,8.0%,28.0%,65.2%,-79
2015 Rio de Janeiro R32,L vs Nadal,10.8%,18.5%,41.3%,14.9%,24.0%,36.0%,47.4%,34.8%,61.5%,50.0%,100.0%,3.6%,10.7%,37.0%,-86
2012 Moscow F,L vs Seppi,28.2%,38.2%,40.9%,33.0%,35.3%,45.6%,40.9%,43.1%,58.8%,70.6%,66.7%,24.1%,37.9%,40.9%,63
2012 Olympics R64,L vs Tsonga,37.0%,49.0%,52.5%,43.3%,33.8%,45.9%,51.0%,42.3%,41.4%,53.3%,40.0%,54.5%,68.2%,60.0%,154
2012 Gstaad F,W vs Tipsarevic,32.3%,47.3%,50.0%,39.6%,45.1%,64.7%,64.3%,58.4%,53.8%,64.0%,-,17.1%,26.8%,38.2%,-43
2012 Indian Wells R16,L vs Federer,26.5%,30.1%,54.4%,31.2%,35.6%,42.2%,62.1%,44.2%,43.5%,40.9%,100.0%,17.6%,17.6%,46.4%,56
2011 Madrid SF,L vs Djokovic,24.0%,32.0%,50.0%,30.5%,27.1%,37.5%,48.6%,37.3%,61.5%,59.1%,33.3%,19.2%,23.1%,52.4%,-23
Career (20 matches),,27.5%,38.8%,50.4%,33.2%,35.4%,48.8%,50.8%,45.1%,46.8%,57.8%,58.5%,18.3%,27.8%,49.8%,62
