Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
09-Jul-2001,Bastad,Clay,F,43,78,Andrea Gaudenzi [ITA] d. (5) Ulihrach,7-5 6-3,0.72,3.4%,3.4%,70.7%,51.2%,47.1%,0/5,1:15
01-Jan-2001,Doha,Hard,F,76,37,Marcelo Rios [CHI] d. (Q) Ulihrach,6-3 2-6 6-3,1.01,5.8%,5.8%,64.0%,70.9%,32.3%,6/11,1:39
27-Jul-1998,Umag,Clay,F,43,47,(7) Ulihrach d. (6) Magnus Norman [SWE],6-3 7-6(0),1.46,3.0%,0.0%,59.7%,67.5%,63.0%,1/4,1:29
28-Apr-1997,Prague,Clay,F,23,41,(4) Cedric Pioline [FRA] d. (3) Ulihrach,6-2 5-7 7-6(4),0.85,2.9%,5.8%,47.1%,65.3%,38.2%,6/13,2:31
10-Mar-1997,Indian Wells Masters,Hard,F,43,3,(3) Michael Chang [USA] d. Ulihrach,4-6 6-3 6-4 6-3,0.90,1.8%,6.4%,41.3%,75.6%,48.4%,3/8,2:40
20-May-1996,Dusseldorf,Clay,F,38,15,Marc Rosset [SUI] d. Ulihrach,7-6(4) 6-2,0.87,0.0%,10.1%,44.9%,61.3%,55.3%,2/5,1:38
29-Apr-1996,Prague,Clay,F,41,8,(2) Yevgeny Kafelnikov [RUS] d. (5) Ulihrach,7-5 1-6 6-3,0.94,6.7%,4.8%,46.2%,68.8%,44.6%,14/18,1:56
30-Oct-1995,Montevideo,Clay,F,40,30,(8) Ulihrach d. (2) Alberto Berasategui [ESP],6-2 6-3,1.75,6.7%,0.0%,60.0%,81.5%,61.1%,0/0,0:56
31-Jul-1995,Prague,Clay,F,61,60,Ulihrach d. (7) Javier Sanchez [ESP],6-2 6-2,1.70,2.4%,7.1%,50.0%,76.2%,61.9%,1/2,0:58
19-Jun-1995,St. Poelten,Clay,F,68,4,(1) Thomas Muster [AUT] d. Ulihrach,6-3 3-6 6-1,0.73,2.7%,4.0%,70.7%,64.2%,27.3%,5/10,1:25
