Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2009,1,0,1,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,0,,,,,,,,,,,,R32 (Trnava)
2008,21,11,10,52.4%,23-24,48.9%,228-218,51.1%,1-4,20.0%,0,,,,,,,,,,,,SF (Prague)
2007,28,18,10,64.3%,35-22,61.4%,290-258,52.9%,5-4,55.6%,0,,,,,,,,,,,,W (Ostrava)
2006,12,7,5,58.3%,15-15,50.0%,142-135,51.3%,0-1,0.0%,0,,,,,,,,,,,,F (Szczecin)
2005,5,3,2,60.0%,7-6,53.8%,63-59,51.6%,0-1,0.0%,0,,,,,,,,,,,,QF (Ostrava)
2004,19,12,7,63.2%,24-15,61.5%,201-182,52.5%,5-2,71.4%,0,,,,,,,,,,,,SF (2x)
2003,11,7,4,63.6%,17-11,60.7%,149-121,55.2%,2-1,66.7%,0,,,,,,,,,,,,SF (Aschaffenburg)
2002,2,1,1,50.0%,3-2,60.0%,22-21,51.2%,0-0,-,0,,,,,,,,,,,,R16 (Szczecin)
2001,5,5,0,100.0%,10-1,90.9%,69-47,59.5%,1-1,50.0%,0,,,,,,,,,,,,W (Prostejov)
2000,17,11,6,64.7%,24-14,63.2%,185-153,54.7%,4-1,80.0%,0,,,,,,,,,,,,W (Szczecin)
1998,3,2,1,66.7%,4-2,66.7%,29-15,65.9%,1-1,50.0%,0,,,,,,,,,,,,QF (Prostejov)
1997,6,5,1,83.3%,11-3,78.6%,76-38,66.7%,0-0,-,0,,,,,,,,,,,,W (Prostejov)
1995,21,15,6,71.4%,30-17,63.8%,234-183,56.1%,2-2,50.0%,0,,,,,,,,,,,,W (Birmingham)
1994,33,22,11,66.7%,47-24,66.2%,355-267,57.1%,3-1,75.0%,0,,,,,,,,,,,,W (Oberstaufen)
1993,2,1,1,50.0%,2-2,50.0%,14-17,45.2%,0-0,-,0,,,,,,,,,,,,R16 (Prague)
Career,186,120,66,64.5%,252-160,61.2%,2063-1726,54.4%,24-19,55.8%,0,,,,,,,,,,,,
