Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2019 W100 Ilkley R32,L vs Wickmayer,50% (6/12),67% (2/3),1/1,0/0,70% (14/20),4/6,4/5,- (0/0),- (0/0)
2019 Anning R32,L vs Cadantu Ignatik,40% (6/15),54% (7/13),1/1,0/0,42% (5/12),1/3,0/1,- (0/0),- (0/0)
2019 Hua Hin R16,L vs Yastremska,50% (5/10),0% (0/4),0/0,0/0,57% (4/7),0/2,0/1,- (0/0),- (0/0)
2019 Hua Hin R32,W vs Paquet,100% (6/6),55% (6/11),2/2,1/1,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2019 Australian Open R128,L vs Bouchard,67% (2/3),50% (1/2),0/0,0/0,50% (6/12),2/4,1/2,- (0/0),- (0/0)
2018 Houston F,W vs Davis,50% (11/22),43% (3/7),2/4,1/3,56% (5/9),0/1,0/0,- (0/0),- (0/0)
2018 Houston SF,W vs Pegula,64% (7/11),50% (5/10),2/2,1/1,71% (5/7),0/0,0/0,- (0/0),- (0/0)
2018 Houston QF,W vs Osuigwe,60% (9/15),27% (3/11),2/3,1/1,75% (3/4),0/0,0/0,100% (5/5),40% (2/5)
2018 Houston R16,W vs Bencic,79% (11/14),38% (5/13),2/3,1/1,55% (6/11),1/2,0/0,- (0/0),- (0/0)
2018 Houston R32,W vs Haddad Maia,75% (12/16),88% (7/8),2/2,1/1,63% (5/8),0/1,0/0,67% (4/6),17% (1/6)
2018 Wimbledon R128,L vs Stosur,88% (7/8),100% (2/2),0/0,0/0,43% (3/7),1/3,1/2,- (0/0),- (0/0)
2018 Eastbourne R64,L vs Buzarnescu,50% (8/16),40% (2/5),1/2,0/0,57% (8/14),4/6,2/3,- (0/0),- (0/0)
2018 Roland Garros R64,L vs Garcia,100% (11/11),33% (2/6),1/1,0/0,63% (5/8),0/2,0/1,- (0/0),- (0/0)
2018 Roland Garros R128,W vs Krunic,56% (9/16),43% (3/7),2/5,1/4,91% (10/11),0/0,0/0,- (0/0),- (0/0)
2018 Rome R64,L vs Begu,57% (8/14),50% (3/6),1/3,0/0,54% (7/13),0/2,0/1,- (0/0),- (0/0)
2018 Madrid R64,L vs Muguruza,29% (5/17),33% (1/3),0/0,0/0,50% (4/8),3/5,1/2,- (0/0),- (0/0)
2018 Anning SF,L vs Zheng,30% (3/10),33% (3/9),0/1,0/0,46% (6/13),0/2,0/1,- (0/0),- (0/0)
2018 Anning R16,W vs Yang,62% (8/13),33% (9/27),2/3,1/2,46% (6/13),3/4,0/0,- (0/0),- (0/0)
2018 Anning R32,W vs Naydenova,59% (10/17),60% (6/10),2/4,1/3,50% (4/8),0/1,0/0,- (0/0),- (0/0)
2018 Zhengzhou R32,L vs Zheng,56% (5/9),60% (3/5),0/4,0/0,58% (7/12),0/2,0/1,44% (4/9),44% (4/9)
2019 (5 matches),,54.3%,48.5%,100.0%,100.0%,55.6%,46.7%,55.6%,-,-
2018 (18 matches),,57.7%,44.0%,51.4%,50.0%,57.8%,39.0%,37.5%,65.0%,35.0%
2017 (57 matches),,60.6%,47.3%,55.2%,59.0%,57.7%,52.8%,46.2%,56.3%,53.6%
2016 (31 matches),,57.1%,45.8%,44.8%,57.1%,55.3%,57.3%,61.5%,56.9%,36.9%
2014 (33 matches),,60.5%,45.2%,52.1%,55.2%,51.9%,57.1%,51.4%,53.7%,47.3%
Career (217 matches),,57.8%,46.7%,51.2%,55.9%,54.1%,49.2%,47.2%,55.3%,45.5%
