Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2019 Tianjin R16,L vs Yastremska,25.0%,32.7%,37.8%,28.6%,37.1%,36.0%,45.0%,20.0%,25.0%,20.0%,26.7%,41.7%,33.3%,33.3%,-,38
2019 Nanchang SF,L vs Rybakina,27.6%,34.5%,40.0%,32.8%,41.4%,43.6%,58.3%,35.3%,20.0%,19.2%,23.1%,33.3%,31.3%,40.0%,0.0%,21
2019 Australian Open R128,L vs Bouchard,22.0%,24.0%,29.7%,31.0%,34.5%,40.0%,21.4%,33.3%,40.0%,10.5%,10.5%,17.6%,27.3%,37.5%,50.0%,-9
2018 ITF Dubai F,W vs Kuzmova,25.0%,29.2%,57.1%,37.9%,37.9%,66.7%,56.3%,15.4%,0.0%,5.6%,16.7%,47.1%,0.0%,69.2%,100.0%,-104
2017 Beijing R32,W vs Niculescu,12.7%,21.1%,45.9%,17.1%,29.3%,52.9%,42.1%,36.4%,40.0%,6.9%,10.3%,37.0%,14.3%,73.3%,50.0%,-64
2017 Wimbledon R32,L vs Halep,16.9%,32.4%,50.9%,21.4%,35.7%,48.5%,59.1%,30.0%,33.3%,11.1%,29.6%,54.2%,44.4%,38.9%,0.0%,-21
2017 Indian Wells R32,W vs Radwanska,8.0%,16.0%,50.0%,5.6%,16.7%,55.9%,40.0%,57.1%,50.0%,14.3%,14.3%,33.3%,28.6%,57.1%,100.0%,-104
2017 Indian Wells R64,W vs Konjuh,33.9%,41.1%,42.9%,37.8%,43.2%,52.2%,57.9%,50.0%,0.0%,29.4%,41.2%,25.0%,33.3%,36.4%,50.0%,23
2017 Indian Wells R128,W vs Tsurenko,22.7%,25.8%,38.9%,30.6%,35.5%,37.2%,68.8%,30.0%,20.0%,9.4%,9.4%,41.4%,61.5%,57.9%,57.1%,-20
2017 Australian Open R64,L vs Bouchard,17.9%,26.9%,47.9%,25.6%,33.3%,48.3%,56.3%,34.8%,0.0%,9.5%,23.8%,47.4%,61.5%,12.5%,0.0%,-30
2016 Birmingham R32,L vs Kerber,15.2%,37.9%,61.8%,19.5%,48.8%,72.7%,57.1%,40.0%,0.0%,8.3%,20.8%,45.5%,100.0%,12.5%,-,-56
2014 US Open SF,L vs Wozniacki,9.8%,23.0%,46.2%,17.1%,28.6%,41.4%,78.6%,52.4%,-,0.0%,17.4%,52.2%,30.0%,38.5%,50.0%,-119
2014 Nan Chang F,W vs Liu,32.4%,41.9%,52.0%,41.3%,52.2%,59.3%,39.1%,26.1%,50.0%,17.9%,25.0%,43.5%,25.0%,31.3%,0.0%,-104
2014 Wimbledon R16,L vs Kvitova,32.7%,42.9%,34.4%,34.3%,48.6%,34.8%,30.0%,26.7%,75.0%,30.8%,30.8%,33.3%,20.0%,12.5%,-,-18
2014 Miami R64,L vs Kerber,12.4%,31.5%,57.3%,18.8%,41.7%,61.5%,33.3%,23.3%,50.0%,5.3%,21.1%,52.8%,23.8%,17.6%,0.0%,-62
2014 Indian Wells R64,L vs Bouchard,21.6%,31.4%,36.8%,29.6%,44.4%,52.6%,45.5%,25.0%,50.0%,13.6%,18.2%,21.1%,14.3%,37.5%,50.0%,-3
2013 Hobart R16,L vs Niculescu,10.1%,25.7%,49.0%,12.5%,28.7%,51.4%,69.4%,38.6%,44.4%,3.7%,18.5%,42.3%,68.8%,27.3%,0.0%,-79
2010 US Open R64,W vs Radwanska,17.5%,23.8%,56.3%,22.6%,28.3%,61.0%,52.2%,43.3%,0.0%,8.0%,16.0%,47.8%,23.1%,50.0%,50.0%,-33
Career (18 matches),,19.6%,29.9%,47.4%,25.1%,36.6%,51.1%,52.3%,35.1%,33.9%,11.2%,20.1%,41.5%,36.2%,38.7%,42.5%,-13
