Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
1992,1097,1,,,,,,,,,,,,
1991,115,,74,1795,77,1732,,,30,1768,,,,
1990,37,,60,1810,64,1734,,,24,1762,,,,
1989,13,,11,1992,10,1943,45,1782,6,1939,,,,
1988,10,,14,1999,12,1948,59,1744,8,1946,,,,
1987,9,,12,2031,14,1904,62,1725,8,1958,537,,,
1986,15,,31,1888,37,1781,85,1672,10,1879,354,,,
1985,12,,14,1996,13,1925,,,11,1908,724,,,
1984,44,,46,1839,46,1768,125,1611,16,1826,465,,,
1983,16,,23,1949,27,1815,111,1654,8,1905,,,,
1982,30,,38,1863,49,1743,127,1636,15,1839,,,,
1981,33,,37,1876,33,1801,,,27,1808,,,,
1979,420,,,,,,,,,,,,,
1978,436,,,,,,,,,,,,,
