Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,216,131,85,60.6%,302-191,61.3%,2470-2089,54.2%,42-40,51.2%,15,74.4%,22.4%,6.9%,7.4%,56.4%,74.1%,45.0%,61.4%,38.1%,49.6%,0.99
Clay,27,8,19,29.6%,28-45,38.4%,316-372,45.9%,3-5,37.5%,0,,,,,,,,,,,
Grass,127,90,37,70.9%,213-86,71.2%,1586-1205,56.8%,43-40,51.8%,4,83.5%,18.8%,11.7%,6.2%,53.8%,75.7%,51.3%,64.4%,36.2%,51.0%,1.02
Carpet,175,112,63,64.0%,226-151,59.9%,1873-1591,54.1%,34-22,60.7%,7,72.1%,26.4%,7.0%,7.9%,52.1%,71.9%,47.7%,60.3%,39.8%,50.0%,1.00
Grand Slams,101,65,36,64.4%,198-100,66.4%,1554-1237,55.7%,33-39,45.8%,5,80.6%,18.4%,11.5%,6.5%,52.7%,75.7%,48.9%,63.0%,36.5%,50.3%,0.99
Masters,56,29,27,51.8%,70-62,53.0%,630-601,51.2%,15-5,75.0%,5,64.7%,26.5%,4.3%,8.6%,59.4%,68.9%,42.3%,58.1%,38.7%,48.5%,0.92
Other Tours,383,246,137,64.2%,492-297,62.4%,3958-3290,54.6%,74-63,54.0%,16,76.8%,23.8%,7.3%,7.3%,54.5%,74.4%,47.6%,62.2%,38.8%,50.4%,1.03
Best of 5,137,87,50,63.5%,269-153,63.7%,2153-1790,54.6%,43-42,50.6%,5,80.6%,18.4%,11.5%,6.5%,52.7%,75.7%,48.9%,63.0%,36.5%,50.3%,0.99
Best of 3,408,254,154,62.3%,500-320,61.0%,4092-3467,54.1%,79-65,54.9%,21,74.2%,24.4%,6.7%,7.6%,55.5%,73.2%,46.7%,61.4%,38.8%,50.0%,1.00
Finals,24,12,12,50.0%,28-33,45.9%,267-288,48.1%,1-3,25.0%,0,,,,,,,,,,,
Semi-finals,34,23,11,67.6%,46-29,61.3%,373-316,54.1%,7-4,63.6%,0,,,,,,,,,,,
Quarter-finals,83,34,49,41.0%,80-94,46.0%,797-833,48.9%,16-26,38.1%,0,,,,,,,,,,,
vs Righties,452,281,171,62.2%,642-392,62.1%,5208-4370,54.4%,98-94,51.0%,22,74.2%,23.7%,8.2%,7.3%,54.7%,72.9%,46.6%,61.0%,38.8%,49.9%,0.99
vs Lefties,93,60,33,64.5%,127-81,61.1%,1037-887,53.9%,24-13,64.9%,4,85.7%,16.7%,8.3%,7.0%,53.9%,79.6%,51.2%,66.5%,34.2%,51.0%,1.02
vs Top 10,77,24,53,31.2%,61-113,35.1%,702-883,44.3%,16-23,41.0%,3,82.5%,20.5%,10.1%,7.5%,50.9%,80.1%,49.6%,65.2%,34.6%,51.0%,0.99
