Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,22,9,13,40.9%,20-28,41.7%,231-248,48.2%,5-4,55.6%,22,67.5%,28.8%,6.6%,2.6%,60.9%,65.7%,45.5%,57.8%,41.8%,49.7%,0.99
Clay,11,7,4,63.6%,15-11,57.7%,139-134,50.9%,3-2,60.0%,11,68.9%,32.3%,4.6%,2.5%,58.4%,62.7%,50.5%,57.6%,42.1%,50.0%,0.99
Grass,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,1,50.0%,0.0%,2.1%,12.8%,42.6%,75.0%,29.6%,48.9%,25.5%,37.2%,0.50
Grand Slams,7,3,4,42.9%,6-8,42.9%,62-69,47.3%,1-1,50.0%,7,67.7%,26.6%,3.6%,3.1%,56.1%,65.3%,49.7%,58.4%,40.0%,49.3%,0.96
Premiers,2,0,2,0.0%,1-4,20.0%,25-31,44.6%,0-2,0.0%,2,63.0%,29.6%,8.9%,3.4%,52.2%,64.2%,46.4%,55.7%,43.2%,49.9%,0.97
Internationals,15,9,6,60.0%,18-17,51.4%,181-170,51.6%,5-2,71.4%,15,71.5%,30.8%,6.3%,2.4%,63.0%,66.2%,47.0%,59.1%,42.2%,50.6%,1.03
Finals,1,0,1,0.0%,0-2,0.0%,8-13,38.1%,0-0,-,1,40.0%,36.4%,1.7%,5.1%,49.2%,55.2%,36.7%,45.8%,44.3%,44.9%,0.82
Semi-finals,1,1,0,100.0%,2-1,66.7%,17-14,54.8%,0-0,-,1,75.0%,33.3%,5.2%,3.1%,58.3%,64.3%,55.0%,60.4%,37.5%,50.0%,0.95
Quarter-finals,2,1,1,50.0%,2-3,40.0%,23-28,45.1%,1-1,50.0%,2,64.0%,25.0%,8.0%,1.9%,62.3%,59.4%,47.5%,54.9%,41.1%,47.8%,0.91
vs Righties,33,15,18,45.5%,33-40,45.2%,358-378,48.6%,7-6,53.8%,33,67.7%,29.4%,6.0%,2.7%,60.1%,64.4%,47.2%,57.6%,41.6%,49.6%,0.98
vs Lefties,1,1,0,100.0%,2-1,66.7%,16-16,50.0%,1-0,100.0%,1,66.7%,31.3%,1.9%,3.8%,49.5%,73.1%,43.4%,58.1%,42.1%,49.8%,1.00
