Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 Jinan SF,W vs Nugroho,0.0%,-,20.2%,63.2%,10.5%,15.4%,0.0%,19.6%,55.6%,0.0%,-,-30,-32
2025 Beijing R128,W vs Andreescu,0.0%,-,11.5%,58.8%,14.8%,15.8%,27.3%,10.0%,66.7%,0.0%,-,-32,-23
2025 US Open R64,L vs Sakkari,0.0%,-,7.9%,37.5%,4.8%,7.7%,0.0%,5.9%,14.3%,0.0%,-,-66,-81
2025 US Open R128,W vs Svitolina,0.0%,-,10.3%,66.7%,12.3%,18.9%,0.0%,6.8%,10.0%,2.0%,0.0%,-46,-17
2025 Hamburg F,L vs Boisson,0.0%,-,13.0%,72.2%,10.4%,10.8%,20.0%,4.8%,14.3%,2.0%,40.0%,12,-3
2025 Wimbledon R128,L vs Svitolina,0.0%,-,5.4%,80.0%,13.6%,16.7%,66.7%,10.7%,20.0%,0.8%,0.0%,-53,6
2024 ITF Iasi QF,L vs Danilovic,0.0%,-,11.1%,46.7%,13.3%,25.0%,11.8%,8.1%,14.3%,2.6%,50.0%,-46,-30
2024 Budapest R32,W vs Danilovic,0.0%,-,8.2%,84.6%,22.9%,35.0%,14.3%,9.0%,0.0%,0.0%,-,53,40
2024 ITF Trnava R16,L vs Tikhonova,0.0%,-,7.2%,37.5%,12.1%,15.0%,0.0%,13.9%,33.3%,0.6%,0.0%,-51,-44
2024 ITF Trnava R32,W vs Birrell,0.0%,-,2.5%,100.0%,27.8%,42.9%,0.0%,11.1%,0.0%,0.0%,-,-8,52
2024 Australian Open Q3,L vs Korneeva,0.0%,-,7.8%,60.0%,10.4%,13.9%,50.0%,8.8%,23.1%,1.0%,0.0%,-38,-15
2024 Australian Open Q1,W vs Hsieh,0.0%,-,9.5%,78.6%,20.8%,13.8%,0.0%,6.2%,27.3%,2.5%,33.3%,0,21
2023 Cluj Napoca R32,W vs Soboleva,0.0%,-,7.6%,69.2%,10.8%,13.2%,5.6%,7.9%,44.4%,1.1%,75.0%,-14,-2
2023 Lausanne R16,W vs Andreeva,0.0%,-,14.6%,71.4%,10.5%,13.9%,0.0%,6.3%,28.6%,2.3%,57.1%,-28,-20
2023 Wimbledon R128,L vs Andreescu,0.0%,-,7.3%,58.3%,16.9%,19.2%,100.0%,10.9%,25.0%,0.0%,-,15,45
2023 Roland Garros R128,L vs Begu,0.0%,-,3.1%,75.0%,8.1%,5.8%,16.7%,2.6%,50.0%,2.7%,50.0%,-35,-25
2022 Granby R32,W vs Cross,0.0%,-,6.8%,75.0%,17.3%,10.0%,28.6%,16.7%,60.0%,0.0%,-,11,85
2022 Budapest QF,W vs Trevisan,0.0%,-,5.0%,50.0%,6.8%,12.5%,18.2%,2.9%,0.0%,2.6%,71.4%,-117,-98
2022 Rabat R32,W vs Ferrando,0.0%,-,8.8%,77.8%,15.3%,10.7%,10.0%,6.3%,9.5%,4.5%,36.8%,-15,-2
2022 Charleston R64,W vs Hartono,0.0%,-,5.3%,85.7%,19.6%,18.5%,0.0%,9.0%,45.5%,0.9%,50.0%,-76,-49
Last 52 Weeks (6 matches),,0.0%,-,11.4%,63.4%,11.2%,14.3%,25.0%,9.1%,25.9%,0.9%,18.2%,-33,-25
Career (22 matches),,0.0%,-,8.3%,65.8%,13.0%,14.9%,15.7%,7.7%,23.3%,1.5%,41.0%,-27,-11
