Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2025 Jinan 125 SF,W vs Nugroho,63% (5/8),100% (5/5),1/1,13% (1/8),0% (0/1),4/5,2/2,0/0,1/1,0/0
2025 Beijing R128,W vs Andreescu,55% (6/11),100% (6/6),3/5,45% (5/11),0% (0/5),3/6,1/3,1/1,0/2,0/0
2025 US Open R64,L vs Sakkari,38% (3/8),67% (2/3),2/5,75% (6/8),0% (0/6),0/2,0/0,0/1,0/0,0/1
2025 US Open R128,W vs Svitolina,44% (4/9),100% (4/4),0/1,44% (4/9),75% (3/4),4/4,2/3,0/0,1/2,0/0
2025 Hamburg F,L vs Boisson,64% (7/11),57% (4/7),1/5,60% (6/10),0% (0/6),3/4,0/2,0/1,0/0,0/0
2025 Wimbledon R128,L vs Svitolina,25% (2/8),0% (0/2),0/3,63% (5/8),20% (1/5),0/0,0/0,1/2,0/0,0/1
2024 US Open R64,L vs Kalinskaya,22% (2/9),50% (1/2),0/4,56% (5/9),20% (1/5),1/1,0/0,1/1,0/0,0/0
2024 US Open R128,W vs Pera,38% (5/13),60% (3/5),1/2,21% (3/14),33% (1/3),3/3,2/2,1/1,1/1,0/0
2024 Iasi QF,L vs Danilovic,30% (3/10),67% (2/3),2/3,60% (6/10),17% (1/6),1/2,0/0,1/3,0/0,0/1
2024 Budapest R32,W vs Danilovic,36% (4/11),50% (2/4),1/1,9% (1/11),0% (0/1),1/1,0/0,2/2,0/0,0/0
2024 W75 Trnava R16,L vs Tikhonova,25% (2/8),0% (0/2),0/3,75% (6/8),33% (2/6),0/0,0/0,1/2,0/0,1/1
2024 W75 Trnava R32,W vs Birrell,40% (4/10),100% (4/4),0/1,20% (2/10),50% (1/2),4/4,2/2,1/1,1/1,0/0
2024 Australian Open Q3,L vs Korneeva,67% (6/9),33% (2/6),0/4,56% (5/9),0% (0/5),0/2,0/0,0/1,0/0,0/0
2024 Australian Open Q1,W vs Hsieh,36% (4/11),50% (2/4),0/1,27% (3/11),67% (2/3),2/2,1/1,1/1,1/1,0/0
2023 Cluj Napoca R32,W vs Soboleva,80% (12/15),67% (8/12),2/4,36% (5/14),0% (0/5),3/7,1/1,1/2,0/0,0/0
2023 Lausanne R16,W vs Andreeva,50% (5/10),60% (3/5),0/2,27% (3/11),33% (1/3),3/3,1/1,3/3,1/1,0/0
2023 Wimbledon R128,L vs Andreescu,46% (6/13),33% (2/6),0/3,31% (4/13),0% (0/4),1/1,0/0,1/2,0/0,1/1
2023 Roland Garros R128,L vs Begu,56% (5/9),40% (2/5),1/5,67% (6/9),17% (1/6),0/2,0/0,0/0,0/0,0/0
2022 US Open R128,L vs Giorgi,23% (3/13),100% (3/3),1/5,54% (7/13),14% (1/7),1/3,1/1,0/1,0/0,0/1
2022 Granby R32,W vs Cross,44% (4/9),100% (4/4),2/2,50% (5/10),60% (3/5),4/4,2/2,0/0,1/1,0/0
2025 (6 matches),,49.1%,77.8%,35.0%,50.0%,14.8%,66.7%,50.0%,40.0%,40.0%,0.0%
2024 (8 matches),,37.0%,53.3%,21.1%,37.8%,25.8%,80.0%,100.0%,66.7%,100.0%,50.0%
2023 (4 matches),,59.6%,53.6%,21.4%,38.3%,11.1%,53.8%,100.0%,71.4%,100.0%,100.0%
2022 (6 matches),,44.9%,77.4%,38.9%,43.5%,36.7%,66.7%,87.5%,50.0%,66.7%,0.0%
2019 (19 matches),,47.1%,69.8%,37.7%,41.2%,35.1%,71.6%,71.4%,75.0%,78.6%,66.7%
Career (113 matches),,52.0%,74.8%,38.6%,40.8%,29.1%,72.0%,71.3%,64.6%,68.9%,57.6%
