Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2003 Australian Open SF,L vs Agassi,31.3%,38.8%,30.6%,35.9%,42.6%,53.2%,37.0%,50.4%,56.0%,45.5%,33.3%,18.5%,22.2%,22.7%,65
2000 Stuttgart F,W vs Hewitt,18.6%,23.3%,36.6%,21.1%,37.1%,45.2%,35.9%,44.0%,72.0%,45.9%,37.5%,17.3%,23.1%,37.2%,-51
2000 Stuttgart SF,W vs Grosjean,33.3%,46.7%,67.9%,40.7%,40.7%,51.9%,62.5%,53.0%,42.9%,61.5%,100.0%,25.0%,43.8%,75.0%,89
2000 Canada SF,L vs Safin,28.4%,32.4%,36.8%,31.6%,35.3%,43.1%,36.4%,41.6%,45.8%,51.9%,42.9%,23.9%,23.9%,37.1%,69
1998 Washington SF,L vs Agassi,27.0%,27.0%,17.4%,27.0%,42.1%,42.1%,27.3%,42.1%,57.1%,50.0%,66.7%,14.3%,14.3%,8.3%,4
1996 Canada F,W vs Woodbridge,40.0%,50.9%,54.5%,45.6%,48.4%,64.5%,50.0%,58.4%,50.0%,35.3%,-,29.2%,33.3%,58.8%,-79
1996 Canada SF,W vs Martin,37.5%,47.9%,50.0%,42.4%,43.1%,56.9%,51.7%,52.4%,55.0%,61.3%,-,34.1%,41.5%,48.1%,56
1996 Rome SF,L vs Krajicek,18.4%,30.6%,47.2%,22.4%,26.1%,43.5%,47.1%,34.8%,50.0%,53.8%,100.0%,13.6%,22.7%,47.4%,9
1995 Paris SF,L vs Becker,22.0%,27.1%,32.6%,24.9%,31.0%,34.5%,30.0%,36.9%,53.8%,56.3%,66.7%,13.3%,20.0%,34.6%,-79
1995 Rome SF,L vs Muster,21.4%,34.5%,46.8%,27.0%,41.0%,59.0%,47.8%,53.1%,63.2%,50.0%,50.0%,4.9%,14.6%,46.2%,-69
1994 Indianapolis F,W vs Delaitre,30.4%,39.1%,62.5%,34.1%,55.0%,60.0%,33.3%,63.5%,30.0%,80.0%,100.0%,11.5%,23.1%,73.9%,-79
1994 Canada SF,L vs Agassi,15.3%,25.0%,42.9%,20.1%,25.6%,43.6%,44.8%,34.6%,39.1%,75.0%,80.0%,3.6%,3.6%,40.7%,-80
1993 Indian Wells SF,W vs Volkov,30.6%,54.2%,66.7%,39.9%,40.5%,70.3%,68.2%,58.6%,41.2%,65.0%,50.0%,21.2%,39.4%,65.4%,7
1993 Indian Wells F,L vs Courier,36.0%,43.0%,28.0%,40.3%,53.8%,66.7%,38.9%,63.3%,50.0%,52.6%,66.7%,23.8%,26.2%,21.9%,82
1992 Australian Open SF,L vs Edberg,23.1%,35.0%,48.1%,31.8%,29.7%,48.4%,55.6%,45.6%,54.8%,48.5%,83.3%,18.2%,22.7%,38.9%,48
1992 Australian Open QF,W vs Mcenroe,44.4%,64.4%,53.1%,51.3%,55.4%,73.2%,56.0%,66.4%,53.8%,46.7%,50.0%,27.3%,51.5%,50.0%,-35
Career (16 matches),,28.1%,38.0%,44.4%,33.0%,40.2%,53.9%,45.9%,50.1%,52.0%,53.3%,59.2%,19.1%,26.6%,43.1%,42
