Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2024 Roland Garros R128,L vs Kalinskaya,84.6%,55.8%,8.8%,5/3,2.65,0.0%,89.1%,54.4%,0.0%,2.55,0.0%,90.9%,60.0%,36.4%,2.77,0.0%
2024 Miami R128,L vs Wozniacki,78.8%,36.6%,7.7%,3/1,2.50,2.2%,85.7%,25.0%,7.1%,2.41,3.8%,81.0%,52.9%,9.5%,2.63,0.0%
2024 Australian Open R32,L vs Dodin,74.5%,48.8%,21.8%,8/4,2.94,4.7%,64.3%,50.0%,21.4%,3.04,9.1%,88.5%,47.8%,23.1%,2.84,0.0%
2024 Australian Open R64,W vs Pegula,76.1%,60.8%,10.4%,5/2,2.64,11.1%,77.1%,51.9%,8.6%,2.52,17.6%,80.0%,70.8%,13.3%,2.85,0.0%
2023 US Open R32,L vs Sabalenka,70.8%,35.3%,8.3%,3/1,2.19,10.0%,73.3%,36.4%,6.7%,2.24,15.8%,75.0%,33.3%,12.5%,2.10,0.0%
2023 Lausanne F,L vs Cocciaretto,82.2%,45.4%,5.1%,4/2,2.49,2.5%,84.5%,50.7%,3.6%,2.81,4.5%,89.7%,30.8%,10.3%,2.09,0.0%
2023 Roland Garros R128,L vs Sorribes Tormo,75.3%,48.6%,1.1%,1/0,2.45,1.7%,87.5%,46.9%,0.0%,2.47,2.1%,75.0%,52.4%,3.6%,2.37,0.0%
2022 US Open R32,L vs Sabalenka,73.5%,50.0%,26.5%,8/5,2.41,4.5%,72.4%,47.6%,6.9%,2.34,10.0%,83.3%,53.3%,61.1%,2.47,0.0%
2022 Indian Wells R128,L vs Kalinina,65.3%,43.8%,12.2%,6/0,2.60,2.3%,84.6%,50.0%,0.0%,2.80,4.3%,50.0%,30.0%,30.0%,2.38,0.0%
2022 Melbourne R16,L vs Petkovic,81.9%,55.8%,4.3%,2/2,2.19,0.0%,88.7%,54.0%,1.4%,2.08,0.0%,73.7%,64.3%,15.8%,2.39,0.0%
2022 Melbourne R32,W vs Zhang,69.3%,57.7%,8.0%,4/2,2.72,4.7%,73.3%,57.6%,2.2%,2.76,0.0%,67.9%,57.9%,17.9%,2.70,8.0%
2021 Lausanne F,L vs Zidansek,72.7%,50.0%,1.0%,1/0,1.96,4.6%,76.7%,41.3%,0.0%,2.02,7.9%,76.5%,65.4%,2.9%,1.88,0.0%
2020 Roland Garros R64,W vs Juvan,83.1%,55.1%,4.8%,4/0,2.53,4.5%,88.5%,51.9%,0.0%,2.48,2.2%,78.9%,66.7%,21.1%,2.62,9.5%
2020 Roland Garros R128,W vs Rus,85.8%,57.4%,5.2%,3/4,2.34,0.0%,92.0%,54.3%,4.0%,2.46,0.0%,85.2%,69.6%,11.1%,2.09,0.0%
Career (14 matches),,78.0%,51.4%,7.5%,68.7%,2.45,2.9%,83.5%,49.7%,3.3%,2.47,4.0%,78.6%,55.1%,17.5%,2.42,1.3%
