Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2024 US Open R64,L vs Azarenka,57% (4/7),14% (1/7),0/0,0/0,50% (4/8),4/6,3/4,- (0/0),- (0/0)
2024 US Open R128,W vs Stephens,60% (6/10),73% (8/11),2/2,1/1,36% (5/14),0/1,0/0,- (0/0),- (0/0)
2024 Wimbledon R64,L vs Kartal,48% (10/21),23% (3/13),1/5,0/0,58% (7/12),0/2,0/1,- (0/0),- (0/0)
2024 Wimbledon R128,W vs Lys,82% (9/11),33% (3/9),2/2,1/1,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2024 Roland Garros R128,L vs Kalinskaya,44% (4/9),44% (7/16),0/1,0/0,58% (11/19),0/2,0/1,40% (2/5),20% (1/5)
2024 Miami R128,L vs Wozniacki,43% (3/7),40% (2/5),0/0,0/0,55% (6/11),3/5,3/4,- (0/0),- (0/0)
2024 Australian Open R32,L vs Dodin,57% (4/7),100% (2/2),0/0,0/0,55% (6/11),1/3,1/2,- (0/0),- (0/0)
2024 Australian Open R64,W vs Pegula,78% (7/9),50% (5/10),2/3,1/1,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2023 US Open R32,L vs Sabalenka,67% (2/3),0% (0/1),0/0,0/0,50% (5/10),1/3,0/1,- (0/0),- (0/0)
2023 US Open R64,W vs Pliskova,58% (7/12),50% (5/10),2/3,1/1,50% (2/4),0/0,0/0,- (0/0),- (0/0)
2023 US Open R128,W vs Dolehide,63% (5/8),47% (7/15),2/2,1/1,44% (4/9),0/0,0/0,- (0/0),- (0/0)
2023 Lausanne F,L vs Cocciaretto,69% (11/16),44% (4/9),1/2,0/0,38% (3/8),0/2,0/1,- (0/0),- (0/0)
2023 Roland Garros R128,L vs Sorribes Tormo,57% (4/7),27% (4/15),0/0,0/0,14% (1/7),2/4,0/1,0% (0/3),0% (0/4)
2022 US Open R32,L vs Sabalenka,0% (0/6),40% (2/5),0/0,0/0,56% (9/16),3/5,0/1,- (0/0),- (0/0)
2022 US Open R64,W vs Van Uytvanck,56% (9/16),54% (7/13),2/2,1/1,54% (7/13),0/1,0/0,- (0/0),- (0/0)
2022 US Open R128,W vs Rybakina,56% (9/16),100% (3/3),2/2,1/1,89% (8/9),0/0,0/0,- (0/0),- (0/0)
2022 Wimbledon R128,L vs Boulter,64% (7/11),50% (1/2),0/0,0/0,56% (5/9),1/3,0/1,- (0/0),- (0/0)
2022 Indian Wells R128,L vs Kalinina,40% (4/10),33% (1/3),0/0,0/0,29% (2/7),1/3,1/2,- (0/0),- (0/0)
2022 Melbourne 1 R16,L vs Petkovic,37% (7/19),62% (8/13),1/3,0/0,33% (4/12),2/4,2/3,- (0/0),- (0/0)
2022 Melbourne 1 R32,W vs Zhang,67% (8/12),50% (4/8),2/7,1/6,33% (1/3),0/0,0/0,71% (5/7),43% (3/7)
2024 (8 matches),,58.0%,42.5%,53.8%,100.0%,52.5%,42.1%,58.3%,40.0%,20.0%
2023 (5 matches),,63.0%,40.0%,71.4%,100.0%,39.5%,33.3%,0.0%,0.0%,0.0%
2022 (7 matches),,48.9%,55.3%,50.0%,37.5%,52.2%,43.8%,42.9%,71.4%,42.9%
2021 (6 matches),,58.3%,43.6%,50.0%,33.3%,54.5%,56.5%,50.0%,46.7%,40.0%
2020 (3 matches),,50.0%,36.8%,44.4%,100.0%,53.8%,57.1%,0.0%,54.2%,45.8%
Career (36 matches),,55.2%,44.2%,55.9%,63.6%,51.3%,52.0%,46.3%,51.6%,39.4%
