Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,11,5,6,45.5%,12-14,46.2%,118-123,49.0%,0-1,0.0%,11,61.3%,37.2%,3.7%,7.2%,54.1%,62.2%,44.0%,53.8%,44.5%,49.4%,0.96
Clay,10,4,6,40.0%,10-15,40.0%,113-128,46.9%,2-4,33.3%,10,50.9%,42.3%,1.8%,5.0%,57.2%,55.1%,43.8%,50.2%,46.7%,48.6%,0.94
Grass,5,1,4,20.0%,4-8,33.3%,49-65,43.0%,1-0,100.0%,5,54.4%,30.4%,4.0%,8.9%,54.9%,57.7%,42.2%,50.7%,41.4%,46.3%,0.84
Grand Slams,5,2,3,40.0%,5-7,41.7%,55-65,45.8%,0-1,0.0%,5,55.9%,36.7%,4.1%,5.9%,57.7%,57.6%,45.1%,52.3%,44.6%,48.4%,0.93
Premiers,1,0,1,0.0%,1-2,33.3%,11-18,37.9%,1-0,100.0%,1,40.0%,30.8%,2.3%,10.2%,54.7%,55.7%,34.5%,46.1%,42.0%,44.5%,0.78
Internationals,12,6,6,50.0%,13-15,46.4%,122-128,48.8%,1-1,50.0%,12,56.8%,40.7%,3.7%,7.6%,53.0%,59.9%,43.6%,52.2%,46.2%,49.4%,0.97
Quarter-finals,2,0,2,0.0%,0-4,0.0%,8-24,25.0%,0-0,-,2,37.5%,12.5%,1.9%,6.5%,44.9%,52.1%,40.7%,45.8%,34.1%,40.5%,0.63
vs Righties,27,11,16,40.7%,27-37,42.2%,287-323,47.0%,3-4,42.9%,25,56.9%,36.3%,3.4%,6.8%,56.0%,58.9%,43.6%,52.2%,44.4%,48.4%,0.93
vs Lefties,2,0,2,0.0%,1-4,20.0%,20-28,41.7%,0-1,0.0%,2,39.1%,45.8%,0.6%,7.5%,48.3%,52.4%,40.0%,46.0%,47.3%,46.6%,0.88
vs Top 10,1,0,1,0.0%,0-2,0.0%,8-13,38.1%,0-0,-,1,50.0%,27.3%,1.2%,3.5%,62.8%,57.4%,40.6%,51.2%,41.2%,46.8%,0.84
