Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-07-15),1375,3,,,,,,,,,,,,
2023,507,100,193,1539,175,1517,186,1484,,,,,,
2022,268,228,163,1571,147,1546,157,1514,172,1418,,,,
2021,97,807,139,1623,134,1586,130,1572,166,1428,,,,
2020,147,502,132,1581,133,1527,113,1562,,,,,,
2019,175,351,172,1578,160,1549,153,1533,183,1404,,,,
2018,259,207,144,1604,138,1586,149,1515,,,,,,
2017,245,223,138,1604,126,1599,129,1529,151,1425,,,,
2016,81,778,81,1732,81,1683,95,1616,137,1506,596,61,,
2015,146,382,188,1469,196,1401,154,1464,171,1391,346,150,,
2014,147,378,169,1563,197,1467,132,1562,,,,,,
2013,147,431,195,1535,211,1454,169,1498,,,547,77,,
2012,294,160,,,,,,,,,515,79,,
2011,209,286,231,1429,234,1382,231,1383,185,1387,742,34,,
2010,228,255,227,1446,224,1407,215,1413,178,1412,419,112,,
2009,112,574,144,1615,147,1560,147,1536,112,1524,,,,
2008,188,158,208,1507,207,1448,204,1453,,,,,,
2007,584,23,,,,,,,,,,,,
2006,1279,3,,,,,,,,,,,,
