Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2024 Davis Cup Finals RR,W vs Shelton,46.4%,60.8%,51.0%,54.4%,52.2%,70.1%,62.5%,63.9%,51.7%,52.6%,33.3%,34.5%,41.4%,31.6%,-29
2024 US Open R128,W vs Tsitsipas,33.3%,43.3%,54.4%,37.4%,50.8%,63.1%,59.4%,59.7%,50.0%,51.2%,100.0%,23.0%,32.8%,51.1%,77
2024 Canada R64,L vs Hurkacz,40.2%,51.1%,55.8%,45.9%,50.0%,63.3%,60.0%,58.7%,34.6%,55.9%,33.3%,24.1%,31.0%,50.0%,63
2024 Canada R64,W vs Monfils,34.5%,45.5%,53.1%,37.3%,51.4%,60.0%,52.9%,55.7%,40.0%,55.0%,-,6.3%,25.0%,53.3%,-63
2024 Roland Garros R128,W vs Popyrin,31.8%,42.9%,58.0%,37.9%,42.1%,56.8%,63.6%,52.0%,52.6%,42.1%,40.0%,16.7%,22.2%,51.1%,49
2024 Indian Wells R64,L vs Sinner,25.0%,34.1%,29.0%,26.1%,42.3%,46.2%,26.7%,44.2%,73.3%,63.6%,100.0%,0.0%,18.8%,31.3%,-118
2024 Los Cabos QF,L vs Zverev,28.3%,35.8%,51.4%,32.3%,41.2%,50.0%,55.0%,47.4%,58.8%,70.6%,100.0%,6.3%,12.5%,46.7%,-60
2024 Brisbane R32,L vs Hijikata,50.0%,58.1%,36.7%,54.2%,59.6%,68.1%,42.1%,65.1%,57.1%,46.2%,50.0%,21.4%,28.6%,27.3%,22
2023 Shanghai R64,L vs Hurkacz,40.6%,54.7%,57.9%,48.9%,50.0%,68.4%,57.9%,63.9%,38.9%,60.0%,-,26.9%,34.6%,57.9%,-79
2023 Cincinnati R64,L vs Hurkacz,25.5%,36.9%,54.0%,32.6%,36.3%,53.8%,60.8%,48.8%,54.1%,60.5%,60.0%,12.5%,16.1%,46.9%,8
2023 Rome R64,L vs Sinner,26.5%,30.6%,40.0%,28.6%,37.9%,44.8%,44.4%,41.4%,42.9%,66.7%,100.0%,10.5%,10.5%,35.3%,-8
2023 Miami R64,L vs Hurkacz,35.6%,41.8%,51.1%,40.5%,45.0%,52.0%,54.5%,52.1%,40.0%,53.8%,80.0%,16.7%,21.4%,45.7%,49
2023 Miami R128,W vs Bergs,34.3%,47.5%,51.6%,40.7%,42.4%,56.1%,55.3%,52.0%,51.7%,40.5%,50.0%,18.8%,31.3%,46.2%,-33
2023 Indian Wells R64,L vs Alcaraz,32.2%,40.7%,42.1%,36.4%,41.2%,55.9%,45.0%,48.5%,58.8%,52.9%,50.0%,21.7%,21.7%,38.9%,42
2023 Manama CH F,W vs Shelbayh,47.5%,55.9%,50.0%,52.7%,59.5%,71.4%,58.8%,66.9%,57.1%,42.9%,100.0%,18.8%,18.8%,38.5%,10
2023 Australian Open R64,L vs Murray,29.3%,41.0%,48.6%,36.6%,37.8%,49.7%,52.8%,48.3%,48.5%,48.1%,64.3%,10.5%,22.8%,41.2%,-12
2023 Adelaide R16,L vs Sinner,37.5%,47.2%,45.2%,43.3%,48.9%,62.2%,47.8%,58.2%,76.5%,50.0%,100.0%,20.8%,25.0%,42.1%,86
2022 Adelaide F,W vs Rinderknech,45.7%,58.7%,66.0%,54.8%,50.7%,67.6%,80.0%,62.5%,60.0%,36.6%,-,28.6%,28.6%,33.3%,-79
2022 Adelaide SF,W vs Cilic,37.6%,49.5%,49.1%,44.5%,47.7%,60.0%,52.9%,57.5%,34.3%,40.0%,66.7%,14.8%,25.9%,43.5%,-25
2022 Adelaide QF,W vs Vukic,50.6%,63.5%,56.1%,54.1%,66.1%,76.3%,60.0%,71.2%,34.6%,30.3%,100.0%,16.0%,36.0%,52.4%,-21
Career (28 matches),,34.3%,45.6%,50.7%,40.3%,45.1%,58.2%,55.6%,54.5%,50.1%,49.1%,58.9%,18.2%,27.2%,44.6%,62
