Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2024 Davis Cup Finals RR,W vs Shelton,2.6,2.5,2.7,52.3%,51.4%,54.5%,75.0%,60.9%,12.0%,12.0,10.8,6.0,9.2
2024 US Open R128,W vs Tsitsipas,2.9,3.1,2.7,51.5%,55.8%,56.3%,54.5%,56.6%,10.9%,27.5,16.8,-1.5,-1.4
2024 Canada R64,L vs Hurkacz,3.5,3.5,3.5,50.4%,42.9%,39.1%,87.5%,49.2%,21.5%,16.5,14.7,-9.0,-9.0
2024 Canada R64,W vs Monfils,3.6,3.5,3.8,55.6%,42.3%,87.5%,55.6%,57.5%,24.3%,9.5,10.2,-1.0,-1.8
2024 Roland Garros R128,W vs Popyrin,3.8,3.7,3.9,55.6%,45.2%,58.1%,68.4%,59.5%,13.6%,14.5,5.6,19.5,12.3
2024 Indian Wells R64,L vs Sinner,5.2,4.8,5.5,38.6%,26.3%,43.8%,25.0%,49.3%,16.2%,1.5,1.5,-7.0,-8.0
2024 Los Cabos QF,L vs Zverev,5.5,4.4,6.1,45.0%,45.2%,60.9%,33.3%,45.2%,16.9%,9.0,6.6,-5.0,-3.5
2024 Brisbane R32,L vs Hijikata,3.1,2.6,3.5,45.7%,55.0%,37.5%,42.9%,54.3%,12.2%,-10.5,-13.1,-2.0,-3.2
2023 Shanghai R64,L vs Hurkacz,3.5,3.6,3.5,52.3%,40.7%,50.0%,36.4%,48.1%,20.2%,5.0,6.8,6.5,9.2
2023 Cincinnati R64,L vs Hurkacz,3.7,4.3,3.0,45.3%,49.0%,65.4%,41.2%,55.1%,24.4%,22.0,12.4,-8.0,-6.8
2023 Rome R64,L vs Sinner,4.6,4.5,4.7,48.8%,19.2%,26.7%,28.6%,53.0%,19.0%,-3.5,-4.6,-9.5,-16.1
2023 Miami R64,L vs Hurkacz,3.5,3.7,3.2,43.8%,46.8%,69.6%,65.0%,60.9%,21.7%,16.0,8.3,-6.0,-5.6
2023 Miami R128,W vs Bergs,3.5,3.3,3.7,50.0%,55.8%,53.3%,27.3%,54.6%,18.0%,6.5,4.7,-1.0,-1.0
2023 Indian Wells R64,L vs Alcaraz,3.3,3.3,3.3,45.1%,15.8%,71.4%,33.3%,57.4%,17.2%,-10.0,-14.7,-3.0,-6.3
2023 Manama CH F,W vs Shelbayh,4.0,3.0,5.0,63.8%,57.6%,33.3%,50.0%,52.5%,24.5%,13.0,16.7,3.0,4.5
2023 Australian Open R64,L vs Murray,4.4,4.1,4.8,51.7%,44.6%,47.7%,51.1%,54.5%,35.4%,22.5,6.9,-1.5,-0.8
2023 Adelaide R16,L vs Sinner,3.6,3.3,3.9,49.5%,48.5%,45.5%,33.3%,57.0%,21.1%,1.0,0.9,-7.0,-9.3
2022 Adelaide F,W vs Rinderknech,3.2,3.2,3.2,51.8%,54.8%,52.4%,85.7%,53.8%,10.7%,21.5,19.5,4.5,4.9
2022 Adelaide SF,W vs Cilic,3.4,3.3,3.5,49.6%,50.0%,64.3%,55.6%,43.1%,27.6%,18.5,19.9,-5.0,-4.9
2022 Adelaide QF,W vs Vukic,3.4,2.5,4.2,59.7%,52.6%,47.4%,50.0%,56.8%,19.8%,13.5,10.3,1.5,1.7
Career (28 matches),,3.6,3.5,3.7,50.2%,45.0%,51.9%,46.5%,54.6%,18.4%,9.8,7.8,-1.9,-2.0
