Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,19,9,10,47.4%,17,14,3,82.4%,2013,2025,R64,19,0.93,11.4%,3.5%,63.7%,72.1%,48.5%,63.6%,33.8%,67.2%,35.3%
Roland Garros,8,Clay,17,9,8,52.9%,9,5,4,55.6%,2014,2024,R32,15,1.01,8.4%,3.7%,61.6%,73.2%,48.4%,63.6%,36.7%,65.8%,36.7%
Wimbledon,7,Grass,11,4,7,36.4%,10,3,7,30.0%,2015,2024,R64,8,0.86,12.3%,4.1%,61.9%,77.0%,46.5%,65.4%,29.6%,73.2%,34.2%
US Open,9,Hard,14,5,9,35.7%,9,3,6,33.3%,2014,2024,R64,13,0.92,13.6%,5.0%,57.8%,77.2%,44.3%,63.3%,33.7%,68.5%,41.9%
Olympics,1,,1,0,1,0.0%,2,0,2,0.0%,2016,2016,R64,1,0.74,7.0%,10.4%,49.6%,61.4%,48.3%,54.8%,33.3%,69.2%,100.0%
Davis Cup,5,,16,8,8,50.0%,9,6,3,66.7%,2014,2024,,8,1.12,15.6%,2.1%,66.1%,80.7%,49.8%,70.2%,33.3%,69.8%,38.8%
Adelaide,3,Hard,6,3,3,50.0%,2,2,0,100.0%,2024,2026,QF,4,0.95,14.8%,3.1%,67.4%,71.0%,52.8%,65.1%,33.1%,65.5%,32.1%
Canada Masters,4,Hard,12,8,4,66.7%,7,4,3,57.1%,2014,2024,R32,11,1.11,11.5%,4.4%,60.7%,76.9%,53.3%,67.6%,36.1%,67.4%,35.1%
Washington,2,Hard,5,3,2,60.0%,4,2,2,50.0%,2023,2024,R16,5,1.17,13.3%,4.7%,60.0%,79.0%,56.7%,70.1%,35.0%,57.1%,37.5%
Queen's Club,4,Grass,8,4,4,50.0%,6,4,2,66.7%,2015,2024,R16,7,0.90,14.7%,4.5%,60.3%,76.4%,49.8%,65.9%,30.9%,65.0%,33.3%
Rome Masters,3,Clay,6,3,3,50.0%,1,0,1,0.0%,2022,2024,R64,6,0.99,9.6%,2.8%,63.4%,72.1%,55.9%,66.1%,33.5%,68.2%,44.4%
Madrid Masters,3,Clay,7,4,3,57.1%,4,2,2,50.0%,2015,2024,R64,7,1.18,8.3%,2.4%,66.2%,77.8%,50.0%,68.4%,37.3%,67.7%,52.6%
