Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 Wimbledon R128,L vs Alcaraz,62.4%,52.5%,2.6%,3/2,1.94,16.1%,58.6%,50.8%,3.6%,1.85,22.0%,76.8%,54.7%,1.4%,2.12,4.8%
2024 Gstaad QF,L vs Tsitsipas,66.7%,47.1%,3.9%,2/0,-,21.2%,61.3%,42.1%,3.2%,-,31.3%,75.0%,53.3%,5.0%,-,11.8%
2024 Rome R64,L vs Fritz,62.9%,41.0%,1.6%,1/0,1.92,3.8%,48.6%,35.3%,2.9%,1.59,8.3%,84.6%,45.5%,0.0%,2.18,0.0%
2023 Rome R32,L vs Rune,79.2%,35.7%,1.9%,0/1,-,18.4%,78.6%,27.3%,0.0%,-,27.3%,90.9%,45.0%,4.5%,-,6.3%
2023 Rome R128,W vs Murray,79.8%,53.0%,8.7%,4/5,2.34,6.0%,75.9%,47.7%,6.9%,2.41,10.2%,86.7%,59.0%,11.1%,2.25,0.0%
2022 Canada R64,L vs Rune,66.7%,44.2%,1.3%,0/1,-,21.3%,66.0%,42.9%,1.9%,-,31.3%,77.3%,47.1%,0.0%,-,0.0%
2022 Rome R64,W vs Thiem,69.6%,45.8%,8.7%,6/0,2.21,8.8%,64.4%,41.4%,2.2%,2.42,19.4%,82.6%,52.6%,21.7%,2.04,0.0%
2022 Belgrade SF,L vs Rublev,68.9%,29.0%,2.2%,0/1,-,2.9%,59.3%,37.5%,3.7%,-,4.2%,83.3%,20.0%,0.0%,-,0.0%
2022 Miami R32,L vs Kyrgios,50.0%,31.8%,0.0%,0/0,-,10.5%,44.1%,33.3%,0.0%,-,17.4%,77.8%,28.6%,0.0%,-,0.0%
2022 Rio de Janeiro SF,L vs Alcaraz,77.6%,42.4%,3.9%,2/1,-,8.3%,76.9%,42.5%,1.9%,-,16.0%,90.5%,42.1%,9.5%,-,0.0%
2022 Australian Open R128,L vs Griekspoor,57.0%,40.0%,10.1%,7/1,2.41,9.1%,52.0%,34.6%,6.0%,2.40,19.0%,67.9%,47.4%,17.9%,2.41,2.9%
2022 Sydney R16,L vs Nakashima,68.0%,43.1%,5.3%,1/3,2.56,9.9%,57.4%,51.9%,6.4%,2.52,14.3%,85.7%,33.3%,3.6%,2.60,3.4%
2021 Monte Carlo R16,W vs Krajinovic,86.6%,50.0%,1.5%,1/0,2.34,5.0%,83.3%,54.3%,0.0%,2.33,10.0%,92.0%,43.5%,4.0%,2.35,0.0%
2021 ATP Cup F,L vs Rublev,56.4%,31.8%,10.3%,4/0,2.53,0.0%,34.8%,37.5%,13.0%,2.58,0.0%,87.5%,28.6%,6.3%,2.50,0.0%
2020 Australian Open R16,L vs Sandgren,57.7%,54.9%,5.6%,5/3,2.18,27.3%,51.1%,54.2%,2.1%,2.16,57.8%,81.0%,55.9%,14.3%,2.20,1.9%
2020 Australian Open R32,W vs Pella,82.8%,50.0%,3.4%,1/2,2.39,25.0%,80.3%,46.9%,1.6%,2.26,41.9%,92.0%,56.5%,8.0%,2.59,0.0%
2020 ATP Cup RR,L vs Ruud,60.9%,39.3%,6.5%,2/1,2.19,23.1%,57.1%,35.0%,0.0%,2.06,50.0%,80.0%,50.0%,30.0%,2.29,0.0%
2019 Basel R16,L vs Krajinovic,62.5%,40.0%,5.4%,1/2,2.66,2.6%,57.9%,31.8%,0.0%,2.38,8.3%,76.5%,53.8%,17.6%,2.79,0.0%
2019 Stockholm R16,L vs Tipsarevic,65.0%,34.6%,7.5%,0/3,2.47,4.5%,59.1%,30.8%,4.5%,2.38,4.2%,86.7%,38.5%,13.3%,2.58,5.0%
2019 Shanghai QF,L vs Medvedev,55.0%,27.3%,1.7%,1/0,2.42,5.8%,45.7%,19.0%,0.0%,2.42,9.7%,100.0%,41.7%,8.3%,2.43,0.0%
Career (79 matches),,71.7%,47.8%,3.7%,55.2%,2.29,10.4%,68.4%,44.8%,2.4%,2.28,15.7%,83.3%,52.1%,6.4%,2.32,2.7%
