Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),,,180,1592,,,126,1605,128,1539,,,,
2025,,,165,1617,157,1566,117,1617,118,1551,,,,
2024,91,637,95,1707,123,1615,59,1710,57,1648,826,48,,
2023,107,608,73,1744,81,1670,41,1743,,,,,,
2022,55,843,64,1762,61,1714,43,1748,46,1681,,,,
2021,37,1494,57,1791,49,1746,36,1774,35,1710,,,,
2020,17,2400,69,1739,50,1730,27,1770,,,128,665,,
2019,12,2290,24,1884,27,1820,11,1871,21,1750,148,495,84,1639
2018,13,2315,21,1909,22,1855,15,1877,23,1758,77,1120,42,1728
2017,27,1670,24,1909,21,1856,19,1868,29,1749,96,945,60,1695
2016,49,945,34,1861,35,1796,29,1848,47,1695,174,430,66,1672
2015,21,1515,26,1881,30,1794,19,1879,41,1709,10,5365,31,1781
2014,20,1790,33,1865,40,1770,18,1875,38,1710,57,1265,70,1636
2013,16,1930,23,1911,38,1783,15,1907,39,1725,36,2070,59,1667
2012,45,880,63,1763,77,1672,60,1728,65,1653,111,645,93,1591
2011,48,915,77,1729,113,1613,55,1730,,,34,2105,34,1748
2010,55,855,65,1771,82,1659,52,1758,76,1592,138,580,126,1455
2009,54,790,60,1767,107,1614,41,1784,122,1516,212,315,,
2008,88,493,102,1695,161,1528,59,1736,128,1512,133,445,93,1587
2007,95,444,112,1668,162,1514,77,1670,,,499,87,,
2006,247,162,304,1407,339,1290,271,1398,,,381,132,,
2005,305,109,335,1331,,,312,1310,,,1683,1,,
2004,720,20,,,,,,,,,1324,8,,
2003,1097,4,,,,,,,,,1052,14,,
